	city	city_ascii
0	Bamako	Bamako
1	Sikasso	Sikasso
2	Ségou	Segou
3	Mopti	Mopti
4	Koutiala	Koutiala
5	Kayes	Kayes
6	Gao	Gao
7	Timbuktu	Timbuktu
8	Koulikoro	Koulikoro
9	Kidal	Kidal
10	Kati	Kati
11	Markala	Markala
12	Kita	Kita
13	San	San
14	Bougouni	Bougouni
15	Djenné	Djenne
16	Banamba	Banamba
17	Bourèm Guindou	Bourem Guindou
18	Bafoulabé	Bafoulabe
19	Ménaka	Menaka
20	Nara	Nara
21	Kangaba	Kangaba
22	Nioro	Nioro
23	Goundam	Goundam
24	Aguelhok	Aguelhok
25	Tessalit	Tessalit
26	Sokolo	Sokolo
27	Yélimané	Yelimane
28	Araouane	Araouane
29	Taoudenni	Taoudenni
30	Satadougou	Satadougou
