	city	city_ascii
0	Valletta	Valletta
1	Birkirkara	Birkirkara
2	Sliema	Sliema
3	Mosta	Mosta
4	Saint Paul’s Bay	Saint Paul's Bay
5	Fgura	Fgura
6	Qormi	Qormi
7	Żabbar	Zabbar
8	Tarxien	Tarxien
9	Marsaskala	Marsaskala
10	Imsida	Imsida
11	Gżira	Gzira
12	Swieqi	Swieqi
13	Żejtun	Zejtun
14	Santa Venera	Santa Venera
15	Attard	Attard
16	Rabat	Rabat
17	Żurrieq	Zurrieq
18	Birżebbuġa	Birzebbuga
19	Mellieħa	Mellieha
20	Ħamrun	Hamrun
21	Senglea	Senglea
22	Pietà	Pieta
23	Siġġiewi	Siggiewi
24	Cospicua	Cospicua
25	Balzan	Balzan
26	Ta’ Xbiex	Ta' Xbiex
27	Marsa	Marsa
28	Luqa	Luqa
29	Vittoriosa	Vittoriosa
30	Għaxaq	Ghaxaq
31	Lija	Lija
32	Xagħra	Xaghra
33	Pembroke	Pembroke
34	Nadur	Nadur
35	Iklin	Iklin
36	Floriana	Floriana
37	Kalkara	Kalkara
38	Imqabba	Imqabba
39	San Ġwann	San Gwann
40	Gudja	Gudja
41	Marsaxlokk	Marsaxlokk
42	Dingli	Dingli
43	Kirkop	Kirkop
44	Għargħur	Gharghur
45	San Ġiljan	San Giljan
46	Xewkija	Xewkija
47	Imġarr	Imgarr
48	Imtarfa	Imtarfa
49	Xgħajra	Xghajra
50	Qrendi	Qrendi
51	Għajnsielem	Ghajnsielem
52	Safi	Safi
53	Sannat	Sannat
54	Qala	Qala
55	Kerċem	Kercem
56	Victoria	Victoria
57	Munxar	Munxar
58	Fontana	Fontana
59	Paola	Paola
60	Għarb	Gharb
61	Żebbuġ	Zebbug
62	Naxxar	Naxxar
63	San Lawrenz	San Lawrenz
64	Imdina	Imdina
65	Għasri	Ghasri
66	Santa Luċija	Santa Lucija
67	Żebbuġ	Zebbug
