	city	city_ascii
0	Mexico City	Mexico City
1	Guadalajara	Guadalajara
2	Monterrey	Monterrey
3	Tijuana	Tijuana
4	Ecatepec	Ecatepec
5	Puebla	Puebla
6	León de los Aldama	Leon de los Aldama
7	Juárez	Juarez
8	Zapopan	Zapopan
9	Ciudad Nezahualcóyotl	Ciudad Nezahualcoyotl
10	Nezahualcóyotl	Nezahualcoyotl
11	Mexicali	Mexicali
12	Aguascalientes	Aguascalientes
13	Mérida	Merida
14	Chihuahua	Chihuahua
15	Naucalpan de Juárez	Naucalpan de Juarez
16	San Luis Potosí	San Luis Potosi
17	Toluca	Toluca
18	Querétaro	Queretaro
19	Hermosillo	Hermosillo
20	Saltillo	Saltillo
21	Morelia	Morelia
22	Culiacán	Culiacan
23	Tlalnepantla	Tlalnepantla
24	Cancún	Cancun
25	Tlajomulco de Zúñiga	Tlajomulco de Zuniga
26	Reynosa	Reynosa
27	Guadalupe	Guadalupe
28	Acapulco de Juárez	Acapulco de Juarez
29	Torreón	Torreon
30	Durango	Durango
31	Villahermosa	Villahermosa
32	Chimalhuacán	Chimalhuacan
33	Tuxtla	Tuxtla
34	Tlaquepaque	Tlaquepaque
35	Veracruz	Veracruz
36	Xalapa	Xalapa
37	Ensenada	Ensenada
38	Ciudad Apodaca	Ciudad Apodaca
39	Heroica Matamoros	Heroica Matamoros
40	Cuautitlán Izcalli	Cuautitlan Izcalli
41	Mazatlán	Mazatlan
42	Mazatán	Mazatan
43	Ixtapaluca	Ixtapaluca
44	Ciudad López Mateos	Ciudad Lopez Mateos
45	Tultitlán de Mariano Escobedo	Tultitlan de Mariano Escobedo
46	San Nicolás de los Garza	San Nicolas de los Garza
47	Celaya	Celaya
48	Ciudad Obregón	Ciudad Obregon
49	Tonalá	Tonala
50	Irapuato	Irapuato
51	Nuevo Laredo	Nuevo Laredo
52	Cuernavaca	Cuernavaca
53	Nicolás Romero	Nicolas Romero
54	Tecámac	Tecamac
55	Ciudad General Escobedo	Ciudad General Escobedo
56	Minatitlán	Minatitlan
57	Tepic	Tepic
58	Gómez Palacio	Gomez Palacio
59	Uruapan	Uruapan
60	Tapachula	Tapachula
61	Coatzacoalcos	Coatzacoalcos
62	Tampico	Tampico
63	Chalco	Chalco
64	Ciudad Victoria	Ciudad Victoria
65	Oaxaca	Oaxaca
66	Coacalco	Coacalco
67	Pachuca	Pachuca
68	Tehuacán	Tehuacan
69	Salamanca	Salamanca
70	Ciudad Benito Juárez	Ciudad Benito Juarez
71	Ciudad Santa Catarina	Ciudad Santa Catarina
72	Los Mochis	Los Mochis
