	city	city_ascii
0	Chisinau	Chisinau
1	Bălţi	Balti
2	Tiraspol	Tiraspol
3	Bender	Bender
4	Ungheni	Ungheni
5	Cahul	Cahul
6	Soroca	Soroca
7	Orhei	Orhei
8	Comrat	Comrat
9	Straşeni	Straseni
10	Căuşeni	Causeni
11	Edineţ	Edinet
12	Drochia	Drochia
13	Ialoveni	Ialoveni
14	Hînceşti	Hincesti
15	Sîngerei	Singerei
16	Taraclia	Taraclia
17	Făleşti	Falesti
18	Floreşti	Floresti
19	Cimişlia	Cimislia
20	Rezina	Rezina
21	Anenii Noi	Anenii Noi
22	Călăraşi	Calarasi
23	Nisporeni	Nisporeni
24	Rîşcani	Riscani
25	Glodeni	Glodeni
26	Basarabeasca	Basarabeasca
27	Leova	Leova
28	Briceni	Briceni
29	Teleneşti	Telenesti
30	Donduşeni	Donduseni
31	Criuleni	Criuleni
32	Cantemir	Cantemir
33	Cocieri	Cocieri
34	Ocniţa	Ocnita
35	Şoldăneşti	Soldanesti
36	Ştefan Vodă	Stefan Voda
37	Rîbniţa	Ribnita
38	Dubăsari	Dubasari
39	Durleşti	Durlesti
40	Codru	Codru
41	Ceadîr-Lunga	Ceadir-Lunga
42	Vulcăneşti	Vulcanesti
43	Cricova	Cricova
44	Congaz	Congaz
45	Costeşti	Costesti
46	Dnestrovsc	Dnestrovsc
47	Sîngera	Singera
48	Borogani	Borogani
49	Grigoriopol	Grigoriopol
50	Copceac	Copceac
51	Chiţcani	Chitcani
52	Camenca	Camenca
53	Peresecina	Peresecina
54	Baurci	Baurci
55	Pelinia	Pelinia
56	Cupcini	Cupcini
57	Cojuşna	Cojusna
58	Cazaclia	Cazaclia
59	Corjeuţi	Corjeuti
60	Talmaza	Talmaza
61	Chirsova	Chirsova
62	Ghidighici	Ghidighici
63	Varniţa	Varnita
64	Otaci	Otaci
65	Dubăsarii Vechi	Dubasarii Vechi
66	Sireţi	Sireti
67	Mereni	Mereni
68	Slobozia Mare	Slobozia Mare
69	Vadul lui Vodă	Vadul lui Voda
70	Puhoi	Puhoi
71	Lipcani	Lipcani
72	Corlăteni	Corlateni
73	Tvardiţa	Tvardita
74	Colibaşi	Colibasi
75	Hîrbovăţ	Hirbovat
76	Rădoaia	Radoaia
77	Bulboaca	Bulboaca
78	Crihana Veche	Crihana Veche
79	Sipoteni	Sipoteni
80	Lozova	Lozova
