	city	city_ascii
0	Ulaanbaatar	Ulaanbaatar
1	Mörön	Moron
2	Erdenet	Erdenet
3	Darhan	Darhan
4	Choybalsan	Choybalsan
5	Ölgiy	Olgiy
6	Bayanhongor	Bayanhongor
7	Ulaangom	Ulaangom
8	Hovd	Hovd
9	Sühbaatar	Suhbaatar
10	Uliastay	Uliastay
11	Arvayheer	Arvayheer
12	Saynshand	Saynshand
13	Dzuunmod	Dzuunmod
14	Tsetserleg	Tsetserleg
15	Altay	Altay
16	Öndörhaan	Ondorhaan
17	Baruun-Urt	Baruun-Urt
18	Bulgan	Bulgan
19	Mandalgovĭ	Mandalgovi
20	Dalandzadgad	Dalandzadgad
21	Choyr	Choyr
22	Darhan	Darhan
23	Dalanzadgad	Dalanzadgad
24	Dzüünharaa	Dzuunharaa
25	Ulaan-Uul	Ulaan-Uul
26	Hödrögö	Hodrogo
