	city	city_ascii
0	Casablanca	Casablanca
1	El Kelaa des Srarhna	El Kelaa des Srarhna
2	Fès	Fes
3	Rabat	Rabat
4	Tifariti	Tifariti
5	Tangier	Tangier
6	Marrakech	Marrakech
7	Sale	Sale
8	Meknès	Meknes
9	Kenitra	Kenitra
10	Agadir	Agadir
11	Oujda-Angad	Oujda-Angad
12	Tétouan	Tetouan
13	Taourirt	Taourirt
14	Temara	Temara
15	Safi	Safi
16	Laâyoune	Laayoune
17	Mohammedia	Mohammedia
18	Kouribga	Kouribga
19	Béni Mellal	Beni Mellal
20	El Jadid	El Jadid
21	Ait Melloul	Ait Melloul
22	Nador	Nador
23	Taza	Taza
24	Settat	Settat
25	Barrechid	Barrechid
26	Inezgane	Inezgane
27	Al Khmissat	Al Khmissat
28	Ksar El Kebir	Ksar El Kebir
29	Larache	Larache
30	Khénifra	Khenifra
31	Guelmim	Guelmim
32	Berkane	Berkane
33	Al Fqih Ben Çalah	Al Fqih Ben Calah
34	Bouskoura	Bouskoura
35	Oued Zem	Oued Zem
36	Sidi Slimane	Sidi Slimane
37	Errachidia	Errachidia
38	Guercif	Guercif
39	Ben Guerir	Ben Guerir
40	Oulad Teïma	Oulad Teima
41	Lqoliaa	Lqoliaa
42	Fnidq	Fnidq
43	Sidi Qacem	Sidi Qacem
44	Moulay Abdallah	Moulay Abdallah
45	Warzat	Warzat
46	Youssoufia	Youssoufia
47	Aïn Harrouda	Ain Harrouda
48	M’diq	M'diq
49	Ouezzane	Ouezzane
50	Benslimane	Benslimane
51	Sidi Bennour	Sidi Bennour
52	Al Hoceïma	Al Hoceima
53	Midalt	Midalt
54	Azrou	Azrou
55	Boujad	Boujad
56	Ain El Aouda	Ain El Aouda
57	Qasbat Tadla	Qasbat Tadla
58	Azemmour	Azemmour
59	Al Aaroui	Al Aaroui
60	Mrirt	Mrirt
61	Jerada	Jerada
62	El Aïoun	El Aioun
63	Aziylal	Aziylal
64	Biougra	Biougra
65	Sidi Yahia El Gharb	Sidi Yahia El Gharb
66	El Hajeb	El Hajeb
67	Tit Mellil	Tit Mellil
68	Zaïo	Zaio
69	Zeghanghane	Zeghanghane
70	Mediouna	Mediouna
71	Mechraa Bel Ksiri	Mechraa Bel Ksiri
72	Sidi Smai’il	Sidi Smai'il
73	Bou Arfa	Bou Arfa
74	Arfoud	Arfoud
75	Demnat	Demnat
76	Aïn Taoujdat	Ain Taoujdat
77	Tahla	Tahla
78	Zawyat ech Cheïkh	Zawyat ech Cheikh
79	Missour	Missour
80	Sidi Lmokhtar	Sidi Lmokhtar
81	Ahfir	Ahfir
82	Oulad Fraj	Oulad Fraj
83	Bou Djeniba	Bou Djeniba
84	Goulmima	Goulmima
85	Sidi Zouine	Sidi Zouine
86	Iheddadene	Iheddadene
87	Oulad Hamdane	Oulad Hamdane
88	El Menzel	El Menzel
89	Ar Rommani	Ar Rommani
90	Laaouama	Laaouama
91	Oulad Ayyad	Oulad Ayyad
92	Ain Lehjer	Ain Lehjer
93	Beni Bou Yafroun	Beni Bou Yafroun
94	Oulad Ben Sebbah	Oulad Ben Sebbah
95	Laghdir	Laghdir
96	Ad Dakhla	Ad Dakhla
97	Wislane	Wislane
98	Tiflet	Tiflet
99	Taroudannt	Taroudannt
100	Sefrou	Sefrou
101	Essaouira	Essaouira
102	Ait Ali	Ait Ali
103	Tiznit	Tiznit
104	Tan-Tan	Tan-Tan
105	Sa’ada	Sa'ada
106	Martil	Martil
107	Skhirate	Skhirate
