	city	city_ascii
0	Maputo	Maputo
1	Matola	Matola
2	Nampula	Nampula
3	Beira	Beira
4	Chimoio	Chimoio
5	Cidade de Nacala	Cidade de Nacala
6	Quelimane	Quelimane
7	Tete	Tete
8	Pemba	Pemba
9	Lichinga	Lichinga
10	Xai-Xai	Xai-Xai
11	Maxixe	Maxixe
12	Inhambane	Inhambane
13	Dondo	Dondo
14	Palma	Palma
15	Cuamba	Cuamba
16	Montepuez	Montepuez
17	Mocuba	Mocuba
18	Mocuba	Mocuba
19	Chokwé	Chokwe
20	Manhiça	Manhica
21	Chibuto	Chibuto
22	António Enes	Antonio Enes
23	Moatize	Moatize
24	Mocímboa da Praia	Mocimboa da Praia
25	Namaacha	Namaacha
26	Mocímboa	Mocimboa
27	Macia	Macia
28	Mapai	Mapai
29	Chinde	Chinde
30	Ilha de Moçambique	Ilha de Mocambique
31	Manica	Manica
32	Espungabera	Espungabera
33	Vilankulo	Vilankulo
34	Marrupa	Marrupa
35	Nicoadala	Nicoadala
36	Ligonha	Ligonha
37	Regedor Quissico	Regedor Quissico
38	Massangena	Massangena
39	Panda	Panda
40	Chiramba	Chiramba
