	city	city_ascii
0	Rangoon	Rangoon
1	Mandalay	Mandalay
2	Nay Pyi Taw	Nay Pyi Taw
3	Hpa-An	Hpa-An
4	Bago	Bago
5	Myeik	Myeik
6	Mawlamyine	Mawlamyine
7	Myitkyina	Myitkyina
8	Pathein	Pathein
9	Monywa	Monywa
10	Sittwe	Sittwe
11	Hinthada	Hinthada
12	Letpandan	Letpandan
13	Myingyan	Myingyan
14	Taunggyi	Taunggyi
15	Mudon	Mudon
16	Dawei	Dawei
17	Pyay	Pyay
18	Pakokku	Pakokku
19	Magway	Magway
20	Yenangyaung	Yenangyaung
21	Taungoo	Taungoo
22	Sagaing	Sagaing
23	Hakha	Hakha
24	Loikaw	Loikaw
25	Chauk	Chauk
26	Shwebo	Shwebo
27	Pyapon	Pyapon
28	Kengtung	Kengtung
29	Allanmyo	Allanmyo
30	Thongwa	Thongwa
31	Ye	Ye
32	Wakema	Wakema
33	Namtu	Namtu
34	Pyu	Pyu
35	Nyaungdon	Nyaungdon
36	Amarapura	Amarapura
37	Haka	Haka
38	Kale	Kale
39	Kyaukpyu	Kyaukpyu
40	Labutta	Labutta
