	city	city_ascii
0	Windhoek	Windhoek
1	Rundu	Rundu
2	Swakopmund	Swakopmund
3	Otjiwarongo	Otjiwarongo
4	Katima Mulilo	Katima Mulilo
5	Rehoboth	Rehoboth
6	Keetmanshoop	Keetmanshoop
7	Gobabis	Gobabis
8	Mariental	Mariental
9	Opuwo	Opuwo
10	Outapi	Outapi
11	Oshakati	Oshakati
12	Eenhana	Eenhana
13	Omuthiya	Omuthiya
14	Nkurenkuru	Nkurenkuru
15	Walvisbaai	Walvisbaai
16	Grootfontein	Grootfontein
17	Okahandja	Okahandja
18	Tsumeb	Tsumeb
19	Lüderitz	Luderitz
20	Oshikango	Oshikango
21	Ongwediva	Ongwediva
22	Omaruru	Omaruru
23	Bethanie	Bethanie
24	Usakos	Usakos
25	Outjo	Outjo
26	Karasburg	Karasburg
27	Oranjemund	Oranjemund
28	Otavi	Otavi
29	Karibib	Karibib
30	Maltahöhe	Maltahohe
