	city	city_ascii
0	Kathmandu	Kathmandu
1	Pokhara	Pokhara
2	Jitpur	Jitpur
3	Birāṭnagar	Biratnagar
4	Bharatpur	Bharatpur
5	Birgañj	Birganj
6	Butwāl	Butwal
7	Dharān	Dharan
8	Dhangaḍhi̇̄	Dhangadhi
9	Janakpur	Janakpur
10	Heṭauḍā	Hetauda
11	Kirtipur	Kirtipur
12	Birendranagar	Birendranagar
13	Godāwari̇̄	Godawari
14	Bhaktapur	Bhaktapur
15	Īṭahari̇̄	Itahari
16	Nepālgañj	Nepalganj
17	Bhairāhawā	Bhairahawa
18	Ṭikāpur	Tikapur
19	Gulariyā	Gulariya
20	Tulsīpur	Tulsipur
21	Hanumānnagar	Hanumannagar
22	Siraha	Siraha
23	Pālpā	Palpa
24	Panauti	Panauti
25	Bidur	Bidur
26	Khā̃dbāri̇̄	Khadbari
27	Malaṅgawā	Malangawa
28	Jaleshwar	Jaleshwar
29	Bāglung	Baglung
30	Dadeldhurā	Dadeldhura
31	Īlām	Ilam
32	Salyan	Salyan
33	Rāmechhāp	Ramechhap
34	Bhimphedi	Bhimphedi
35	Chari̇̄koṭ	Charikot
36	Kisanpur	Kisanpur
37	Jumlā	Jumla
