	city	city_ascii
0	The Hague	The Hague
1	Amsterdam	Amsterdam
2	Utrecht	Utrecht
3	Rotterdam	Rotterdam
4	Eindhoven	Eindhoven
5	Almere	Almere
6	Groningen	Groningen
7	Breda	Breda
8	Haarlem	Haarlem
9	Apeldoorn	Apeldoorn
10	Zaanstad	Zaanstad
11	Arnhem	Arnhem
12	’s-Hertogenbosch	's-Hertogenbosch
13	Maastricht	Maastricht
14	Leeuwarden	Leeuwarden
15	Alphen aan den Rijn	Alphen aan den Rijn
16	Zwolle	Zwolle
17	Emmen	Emmen
18	Delft	Delft
19	Purmerend	Purmerend
20	Lelystad	Lelystad
21	Gouda	Gouda
22	Spijkenisse	Spijkenisse
23	Zaandam	Zaandam
24	Capelle aan den IJssel	Capelle aan den IJssel
25	Veenendaal	Veenendaal
26	Katwijk	Katwijk
27	Nieuwegein	Nieuwegein
28	Assen	Assen
29	Middelburg	Middelburg
30	Kerkrade	Kerkrade
31	Leidschendam	Leidschendam
32	Beverwijk	Beverwijk
33	Maassluis	Maassluis
34	Bussum	Bussum
35	Hendrik-Ido-Ambacht	Hendrik-Ido-Ambacht
36	Krimpen aan den IJssel	Krimpen aan den IJssel
37	Geldrop	Geldrop
38	Heemstede	Heemstede
39	Leiderdorp	Leiderdorp
40	Oegstgeest	Oegstgeest
41	Kralingse Veer	Kralingse Veer
42	Rijnsburg	Rijnsburg
43	Rozenburg	Rozenburg
44	Heer	Heer
45	Oudorp	Oudorp
46	Bennebroek	Bennebroek
47	IJsselmonde	IJsselmonde
48	Eygelshoven	Eygelshoven
49	Hoogkerk	Hoogkerk
50	Stompwijk	Stompwijk
51	Oranjestad	Oranjestad
52	The Bottom	The Bottom
53	Kralendijk	Kralendijk
54	Deventer	Deventer
55	Hilversum	Hilversum
56	Heerlen	Heerlen
57	Roosendaal	Roosendaal
58	Ede	Ede
59	Bergen op Zoom	Bergen op Zoom
60	Zeist	Zeist
61	Hardenberg	Hardenberg
62	Barneveld	Barneveld
63	Heerhugowaard	Heerhugowaard
64	Roermond	Roermond
65	Oosterhout	Oosterhout
66	Den Helder	Den Helder
67	Hoogeveen	Hoogeveen
68	Kampen	Kampen
69	Woerden	Woerden
70	Houten	Houten
71	Sittard	Sittard
72	IJmuiden	IJmuiden
73	Harderwijk	Harderwijk
74	Zutphen	Zutphen
75	Ridderkerk	Ridderkerk
76	Veldhoven	Veldhoven
77	Zwijndrecht	Zwijndrecht
78	Medemblik	Medemblik
79	Etten-Leur	Etten-Leur
80	Vlissingen	Vlissingen
81	Rheden	Rheden
82	Zevenaar	Zevenaar
83	Venray	Venray
84	Noordwijk	Noordwijk
85	Tiel	Tiel
86	Huizen	Huizen
87	Uden	Uden
88	Wijchen	Wijchen
89	Hellevoetsluis	Hellevoetsluis
90	Maarssen	Maarssen
91	Dronten	Dronten
92	Heemskerk	Heemskerk
93	Landgraaf	Landgraaf
94	Veghel	Veghel
95	Venlo	Venlo
96	Teijlingen	Teijlingen
97	Goes	Goes
98	Geleen	Geleen
99	Gorinchem	Gorinchem
100	Castricum	Castricum
101	Hellendoorn	Hellendoorn
102	IJsselstein	IJsselstein
103	Sneek	Sneek
104	Tynaarlo	Tynaarlo
105	Oldenzaal	Oldenzaal
106	Rosmalen	Rosmalen
107	Aalsmeer	Aalsmeer
108	Deurne	Deurne
109	Lonneker	Lonneker
110	Valkenswaard	Valkenswaard
111	Boxtel	Boxtel
112	Diemen	Diemen
113	Leusden	Leusden
114	Bergen	Bergen
115	Heesch	Heesch
116	Oosterend	Oosterend
117	Brunssum	Brunssum
118	Sint-Michielsgestel	Sint-Michielsgestel
119	Culemborg	Culemborg
120	Boxmeer	Boxmeer
121	Winterswijk	Winterswijk
122	Langedijk	Langedijk
123	Heerenveen	Heerenveen
124	Zaltbommel	Zaltbommel
125	Drimmelen	Drimmelen
126	Aalten	Aalten
127	Ermelo	Ermelo
128	Werkendam	Werkendam
129	Dongen	Dongen
130	Rijssen	Rijssen
131	Sliedrecht	Sliedrecht
132	Wassenaar	Wassenaar
133	Oisterwijk	Oisterwijk
134	Beuningen	Beuningen
135	Stein	Stein
136	Duiven	Duiven
137	Veenoord	Veenoord
138	Oud-Beijerland	Oud-Beijerland
139	Cuijk	Cuijk
140	Heiloo	Heiloo
141	Hoensbroek	Hoensbroek
142	Putten	Putten
143	Goirle	Goirle
144	Schijndel	Schijndel
145	Borne	Borne
146	Oldebroek	Oldebroek
147	Loon op Zand	Loon op Zand
148	Oud-Zuilen	Oud-Zuilen
149	Steenwijk	Steenwijk
150	Losser	Losser
151	Beek en Donk	Beek en Donk
152	Zeewolde	Zeewolde
153	Nieuwerkerk aan den IJssel	Nieuwerkerk aan den IJssel
154	Geertruidenberg	Geertruidenberg
155	Woensdrecht	Woensdrecht
156	Poortugaal	Poortugaal
157	Zundert	Zundert
158	Leerdam	Leerdam
159	Tubbergen	Tubbergen
160	Winschoten	Winschoten
161	Urk	Urk
162	Cranendonck	Cranendonck
163	Rhenen	Rhenen
164	Edam	Edam
165	Bladel	Bladel
166	Vriezenveen	Vriezenveen
167	Wisch	Wisch
168	Tegelen	Tegelen
169	Helden	Helden
170	Meerssen	Meerssen
171	Someren	Someren
172	Lichtenvoorde	Lichtenvoorde
173	Echt	Echt
174	Eersel	Eersel
175	Groesbeek	Groesbeek
176	Druten	Druten
177	Zuidhorn	Zuidhorn
178	Hardinxveld-Giessendam	Hardinxveld-Giessendam
179	Drunen	Drunen
180	Bemmel	Bemmel
181	Oirschot	Oirschot
182	Bergeijk	Bergeijk
183	Elst	Elst
184	Bodegraven	Bodegraven
185	Middelharnis	Middelharnis
186	Sint-Oedenrode	Sint-Oedenrode
187	Waalre	Waalre
188	Ommen	Ommen
189	Naarden	Naarden
190	Son en Breugel	Son en Breugel
191	Gennep	Gennep
192	Zandvoort	Zandvoort
193	Staphorst	Staphorst
194	Didam	Didam
195	Asten	Asten
196	Heumen	Heumen
197	Westervoort	Westervoort
198	Beek	Beek
199	Huissen	Huissen
200	Harenkarspel	Harenkarspel
201	Harlingen	Harlingen
202	Eibergen	Eibergen
203	Vlijmen	Vlijmen
204	Zevenbergen	Zevenbergen
205	Sassenheim	Sassenheim
206	Boskoop	Boskoop
207	Bunnik	Bunnik
208	Hilvarenbeek	Hilvarenbeek
209	Den Ham	Den Ham
210	IJsselmuiden	IJsselmuiden
211	Breukelen	Breukelen
212	Raamsdonk	Raamsdonk
213	Lopik	Lopik
214	Scheemda	Scheemda
215	Gorssel	Gorssel
216	Haaren	Haaren
217	Maasbracht	Maasbracht
218	Beilen	Beilen
219	Uitgeest	Uitgeest
220	Bergschenhoek	Bergschenhoek
221	Beesel	Beesel
222	Valburg	Valburg
223	Schoonhoven	Schoonhoven
224	Margraten	Margraten
225	Winsum	Winsum
226	Reeuwijk	Reeuwijk
227	Halsteren	Halsteren
228	Woudenberg	Woudenberg
229	Maasbree	Maasbree
230	Schinnen	Schinnen
231	Mijdrecht	Mijdrecht
232	Ubach over Worms	Ubach over Worms
233	Bergen	Bergen
234	Odoorn	Odoorn
235	Franeker	Franeker
236	Borger	Borger
237	Grave	Grave
238	Kapelle	Kapelle
239	Hattem	Hattem
240	Wieringerwerf	Wieringerwerf
241	Neerijnen	Neerijnen
242	Goor	Goor
243	Dokkum	Dokkum
244	Axel	Axel
245	Budel	Budel
246	Heythuysen	Heythuysen
247	Oosterbroek	Oosterbroek
248	Laren	Laren
249	Opmeer	Opmeer
250	Blaricum	Blaricum
251	Doesburg	Doesburg
252	Eijsden	Eijsden
253	Wormer	Wormer
254	Sint Anthonis	Sint Anthonis
255	Hazerswoude-Dorp	Hazerswoude-Dorp
256	Doornspijk	Doornspijk
257	Diepenveen	Diepenveen
258	Prinsenbeek	Prinsenbeek
259	Zierikzee	Zierikzee
260	Schipluiden	Schipluiden
261	Nieuwenhagen	Nieuwenhagen
262	Neede	Neede
263	Bleiswijk	Bleiswijk
264	Zelhem	Zelhem
265	Ulrum	Ulrum
266	Boekel	Boekel
267	Borculo	Borculo
268	Monnickendam	Monnickendam
269	Scherpenzeel	Scherpenzeel
270	Doorn	Doorn
271	Vaals	Vaals
272	Oostzaan	Oostzaan
273	Nieuw-Lekkerland	Nieuw-Lekkerland
274	Haelen	Haelen
275	Assendelft	Assendelft
276	Hoek van Holland	Hoek van Holland
277	Heteren	Heteren
278	Vlist	Vlist
279	Liesveld	Liesveld
280	Vries	Vries
281	Wamel	Wamel
282	Ubbergen	Ubbergen
283	Olst	Olst
284	Ter Aar	Ter Aar
285	Groenlo	Groenlo
286	Eemnes	Eemnes
287	Elsloo	Elsloo
288	Nieuwleusen	Nieuwleusen
289	Smilde	Smilde
290	Holten	Holten
291	Oudover	Oudover
292	Hoevelaken	Hoevelaken
293	Swalmen	Swalmen
294	Abcoude	Abcoude
295	Wervershoof	Wervershoof
296	Loenen	Loenen
297	Dinxperlo	Dinxperlo
298	Zoeterwoude	Zoeterwoude
299	Heel	Heel
300	Vorden	Vorden
301	Hengelo	Hengelo
302	Hoeven	Hoeven
303	Moordrecht	Moordrecht
304	Dirksland	Dirksland
305	Ouderkerk aan de Amstel	Ouderkerk aan de Amstel
306	Steenwijkerwold	Steenwijkerwold
307	Oude Pekela	Oude Pekela
308	Wognum	Wognum
309	Oostvoorne	Oostvoorne
310	Ruurlo	Ruurlo
311	Hasselt	Hasselt
312	Harmelen	Harmelen
313	Reusel	Reusel
314	Rhoon	Rhoon
315	Venhuizen	Venhuizen
316	Heino	Heino
317	Teteringen	Teteringen
318	Schoonebeek	Schoonebeek
319	Wittem	Wittem
320	Numansdorp	Numansdorp
321	Gendt	Gendt
322	Lekkerkerk	Lekkerkerk
323	Sappemeer	Sappemeer
324	Amerongen	Amerongen
325	Anna Paulowna	Anna Paulowna
326	Ten Boer	Ten Boer
327	Sevenum	Sevenum
328	Markelo	Markelo
329	Norg	Norg
330	Lith	Lith
331	Maasland	Maasland
332	Grubbenvorst	Grubbenvorst
333	Ruinen	Ruinen
334	Baarle-Nassau	Baarle-Nassau
335	Erp	Erp
336	Schoorl	Schoorl
337	Lienden	Lienden
338	Klundert	Klundert
339	Bovenkarspel	Bovenkarspel
340	Obdam	Obdam
341	Gramsbergen	Gramsbergen
342	Zevenhuizen	Zevenhuizen
343	Bellingwolde	Bellingwolde
344	Limbricht	Limbricht
