	city	city_ascii
0	Auckland	Auckland
1	Wellington	Wellington
2	Christchurch	Christchurch
3	Manukau City	Manukau City
4	Northcote	Northcote
5	Waitakere	Waitakere
6	Hamilton	Hamilton
7	Tauranga	Tauranga
8	Dunedin	Dunedin
9	Lower Hutt	Lower Hutt
10	Palmerston North	Palmerston North
11	Napier	Napier
12	Whangarei	Whangarei
13	Invercargill	Invercargill
14	Nelson	Nelson
15	Gisborne	Gisborne
16	Blenheim	Blenheim
17	Richmond	Richmond
18	Mosgiel	Mosgiel
19	Whakatane	Whakatane
20	Greymouth	Greymouth
21	Stratford	Stratford
22	Waitangi	Waitangi
23	Porirua	Porirua
24	Rotorua	Rotorua
25	New Plymouth	New Plymouth
26	Upper Hutt	Upper Hutt
27	Whanganui	Whanganui
28	Paraparaumu	Paraparaumu
29	Timaru	Timaru
30	Pukekohe East	Pukekohe East
31	Taupo	Taupo
32	Masterton	Masterton
33	Rolleston	Rolleston
34	Cambridge	Cambridge
35	Levin	Levin
36	Ashton	Ashton
37	Feilding	Feilding
38	Macetown	Macetown
39	Havelock North	Havelock North
40	Waikanae	Waikanae
41	Tokoroa	Tokoroa
42	Te Awamutu	Te Awamutu
43	Hawera	Hawera
44	Waiuku	Waiuku
45	Te Puke	Te Puke
46	Matamata	Matamata
47	Glencoe	Glencoe
48	Ngaruawahia	Ngaruawahia
49	Wanaka	Wanaka
50	Thames	Thames
51	Lincoln	Lincoln
52	Kerikeri	Kerikeri
53	Kawerau	Kawerau
54	Waitara	Waitara
55	Kaitaia	Kaitaia
56	Whitianga	Whitianga
57	Cromwell	Cromwell
58	Katikati	Katikati
59	Warkworth	Warkworth
60	Alexandra	Alexandra
61	Marton	Marton
62	Tuakau	Tuakau
63	Waihi	Waihi
64	Dargaville	Dargaville
65	Turangi	Turangi
66	Westport	Westport
67	Renwick	Renwick
68	Hokitika	Hokitika
69	Te Anau	Te Anau
70	Kaikoura	Kaikoura
71	Halfmoon Bay	Halfmoon Bay
72	Kairaki	Kairaki
