	city	city_ascii
0	Managua	Managua
1	Boaco	Boaco
2	León	Leon
3	Matagalpa	Matagalpa
4	Chinandega	Chinandega
5	Masaya	Masaya
6	Jinotega	Jinotega
7	Estelí	Esteli
8	Tipitapa	Tipitapa
9	Granada	Granada
10	Juigalpa	Juigalpa
11	Jinotepe	Jinotepe
12	Bluefields	Bluefields
13	Ocotal	Ocotal
14	Bilwi	Bilwi
15	Rivas	Rivas
16	Somoto	Somoto
17	San Carlos	San Carlos
18	Wiwilí	Wiwili
19	Siuna	Siuna
20	San José de Bocay	San Jose de Bocay
21	El Cuá	El Cua
22	Diriamba	Diriamba
23	Chichigalpa	Chichigalpa
24	Ciudad Darío	Ciudad Dario
25	El Viejo	El Viejo
26	Nandaime	Nandaime
27	San Sebastián de Yalí	San Sebastian de Yali
28	San Marcos	San Marcos
29	San Rafael del Sur	San Rafael del Sur
30	Corinto	Corinto
31	San Rafael del Norte	San Rafael del Norte
32	El Castillo de La Concepción	El Castillo de La Concepcion
33	San Juan del Sur	San Juan del Sur
34	Bonanza	Bonanza
35	Niquinohomo	Niquinohomo
36	El Realejo	El Realejo
37	Yalagüina	Yalaguina
38	Kukrahill	Kukrahill
39	Catarina	Catarina
40	La Concordia	La Concordia
41	San José de Cusmapa	San Jose de Cusmapa
42	Mozonte	Mozonte
43	San Francisco del Norte	San Francisco del Norte
44	Prinzapolka	Prinzapolka
45	Greytown	Greytown
