	city	city_ascii
0	Niamey	Niamey
1	Zinder	Zinder
2	Maradi	Maradi
3	Agadez	Agadez
4	Tahoua	Tahoua
5	Dosso	Dosso
6	Diffa	Diffa
7	Tillabéri	Tillaberi
8	Arlit	Arlit
9	Birnin Konni	Birnin Konni
10	Gaya	Gaya
11	Ayorou	Ayorou
12	Madaoua	Madaoua
13	Nguigmi	Nguigmi
14	Guidan Roumdji	Guidan Roumdji
15	Baléyara	Baleyara
16	Gouré	Goure
17	Galmi	Galmi
18	Takiéta	Takieta
19	Dabnou	Dabnou
20	Bani Bangou	Bani Bangou
21	Kouli Kouara	Kouli Kouara
22	Tounfafi	Tounfafi
23	Bandio	Bandio
24	Kawara	Kawara
25	Toulou	Toulou
26	Gidan Idèr	Gidan Ider
27	Baguéy	Baguey
28	Birnin Kazoé	Birnin Kazoe
29	Yaama	Yaama
30	Dafawa	Dafawa
31	Taza	Taza
32	Dosey	Dosey
33	Angoul Dénya	Angoul Denya
34	Toubout	Toubout
35	Laba	Laba
36	Moussadèye	Moussadeye
37	Bakin Birji I	Bakin Birji I
38	Tyourout	Tyourout
39	Sokolé	Sokole
40	Nasarawa	Nasarawa
41	Madéta II	Madeta II
42	Bélbéji	Belbeji
43	Aouloumal	Aouloumal
44	Hamdallay	Hamdallay
45	Asoudié	Asoudie
46	Sabon Birni	Sabon Birni
47	Dindi	Dindi
48	Dan Kori	Dan Kori
49	Masalata	Masalata
50	Toudouni	Toudouni
51	Garadoumé	Garadoume
52	Kélénté	Kelente
53	Djibalé	Djibale
54	Bouti	Bouti
55	Kaora Abdou	Kaora Abdou
56	Koundoumawa	Koundoumawa
57	Soubdou	Soubdou
58	Riadi Dan Bizo	Riadi Dan Bizo
59	Souloulou	Souloulou
60	Mouléla	Moulela
61	Nakoni	Nakoni
62	Gandasamou	Gandasamou
63	Sabonkafi	Sabonkafi
64	Jambriji	Jambriji
65	Malgorou	Malgorou
66	Dan Gona	Dan Gona
67	Diambala	Diambala
68	Djado	Djado
