	city	city_ascii
0	Lagos	Lagos
1	Kano	Kano
2	Ibadan	Ibadan
3	Onitsha	Onitsha
4	Owerri	Owerri
5	Abuja	Abuja
6	Maiduguri	Maiduguri
7	Benin City	Benin City
8	Ikare	Ikare
9	Ogbomoso	Ogbomoso
10	Port Harcourt	Port Harcourt
11	Abeokuta	Abeokuta
12	Jos	Jos
13	Ilorin	Ilorin
14	Warri	Warri
15	Kaduna	Kaduna
16	Sokoto	Sokoto
17	Oyo	Oyo
18	Enugu	Enugu
19	Bauchi	Bauchi
20	Aba	Aba
21	Ile-Ife	Ile-Ife
22	Calabar	Calabar
23	Ado-Ekiti	Ado-Ekiti
24	Katsina	Katsina
25	Uyo	Uyo
26	Akure	Akure
27	Osogbo	Osogbo
28	Zaria	Zaria
29	Yola	Yola
30	Umuahia	Umuahia
31	Sapele	Sapele
32	Minna	Minna
33	Awka	Awka
34	Makurdi	Makurdi
35	Owo	Owo
36	Gombe	Gombe
37	Ondo	Ondo
38	Damaturu	Damaturu
39	Iwo	Iwo
40	Gusau	Gusau
41	Apapa	Apapa
42	Mubi	Mubi
43	Ijebu-Ode	Ijebu-Ode
44	Burutu	Burutu
45	Mai’Adua	Mai'Adua
46	Epe	Epe
47	Funtua	Funtua
48	Bida	Bida
49	Offa	Offa
50	Zango	Zango
51	Dutse	Dutse
52	Lafia	Lafia
53	Gashua	Gashua
54	Bama	Bama
55	Jalingo	Jalingo
56	Nsukka	Nsukka
57	Nguru	Nguru
58	Birnin Kebbi	Birnin Kebbi
59	Azare	Azare
60	Lokoja	Lokoja
61	Ikeja	Ikeja
62	Asaba	Asaba
63	Yenagoa	Yenagoa
64	Abakaliki	Abakaliki
65	Kontagora	Kontagora
66	Iseyin	Iseyin
67	Biu	Biu
68	Wukari	Wukari
69	Keffi	Keffi
70	Potiskum	Potiskum
71	Numan	Numan
72	Idah	Idah
73	Otukpo	Otukpo
74	Kumo	Kumo
75	Ikot Abasi	Ikot Abasi
76	Koko	Koko
77	Orlu	Orlu
