	city	city_ascii
0	Oslo	Oslo
1	Bergen	Bergen
2	Trondheim	Trondheim
3	Stavanger	Stavanger
4	Drammen	Drammen
5	Kristiansand	Kristiansand
6	Skien	Skien
7	Bodø	Bodo
8	Tromsø	Tromso
9	Molde	Molde
10	Arendal	Arendal
11	Hamar	Hamar
12	Steinkjer	Steinkjer
13	Fredrikstad	Fredrikstad
14	Sandefjord	Sandefjord
15	Asker	Asker
16	Nordre Fåle	Nordre Fale
17	Sandnes	Sandnes
18	Tønsberg	Tonsberg
19	Sarpsborg	Sarpsborg
20	Ålesund	Alesund
21	Moss	Moss
22	Lørenskog	Lorenskog
23	Haugesund	Haugesund
24	Porsgrunn	Porsgrunn
25	Ringsaker	Ringsaker
26	Halden	Halden
27	Ski	Ski
28	Askøy	Askoy
29	Lillehammer	Lillehammer
30	Oppegård	Oppegard
31	Kongsberg	Kongsberg
32	Sola	Sola
33	Lier	Lier
34	Eidsvoll	Eidsvoll
35	Nedre Eiker	Nedre Eiker
36	Larvik	Larvik
37	Nittedal	Nittedal
38	Stjørdal	Stjordal
39	Røyken	Royken
40	Nøtterøy	Notteroy
41	Elverum	Elverum
42	Harstad	Harstad
43	Stange	Stange
44	Horten	Horten
45	Ås	As
46	Gjøvik	Gjovik
47	Os	Os
48	Kleppe	Kleppe
49	Nesoddtangen	Nesoddtangen
50	Time	Time
51	Mo i Rana	Mo i Rana
52	Stord	Stord
53	Kristiansund	Kristiansund
54	Sørum	Sorum
55	Kosvik	Kosvik
56	Vestby	Vestby
57	Kongsvinger	Kongsvinger
58	Rygge	Rygge
59	Frogn	Frogn
60	Voss	Voss
61	Lindås	Lindas
62	Mandal	Mandal
63	Alta	Alta
64	Verdal	Verdal
65	Vennesla	Vennesla
66	Askim	Askim
67	Malvik	Malvik
68	Nannestad	Nannestad
69	Narvik	Narvik
70	Bamble	Bamble
71	Gran	Gran
72	Drøbak	Drobak
73	Grimstad	Grimstad
74	Notodden	Notodden
75	Strand	Strand
76	Bømlo	Bomlo
77	Sogndal	Sogndal
78	Lommedalen	Lommedalen
79	Stokke	Stokke
80	Randaberg	Randaberg
81	Lenvik	Lenvik
82	Egersund	Egersund
83	Eidsberg	Eidsberg
84	Søgne	Sogne
85	Enebakk	Enebakk
86	Tysvær	Tysvaer
87	Ørsta	Orsta
88	Sortland	Sortland
89	Volda	Volda
90	Kragerø	Kragero
91	Lyngdal	Lyngdal
92	Levanger	Levanger
93	Førde	Forde
94	Sande	Sande
95	Fauske	Fauske
96	Farsund	Farsund
97	Haram	Haram
98	Lunner	Lunner
99	Flekkefjord	Flekkefjord
100	Florø	Floro
101	Ulstein	Ulstein
102	Namsos	Namsos
103	Rakkestad	Rakkestad
104	Hammerfest	Hammerfest
105	Åkrehamn	Akrehamn
106	Lillesand	Lillesand
107	Meland	Meland
108	Løten	Loten
109	Sykkylven	Sykkylven
110	Råde	Rade
111	Alstahaug	Alstahaug
112	Åsnes	Asnes
113	Stryn	Stryn
114	Sunndalsøra	Sunndalsora
115	Oppdal	Oppdal
116	Jevnaker	Jevnaker
117	Risør	Risor
118	Svelvik	Svelvik
119	Rissa	Rissa
120	Trysil	Trysil
121	Vestnes	Vestnes
122	Melhus	Melhus
123	Mesøy	Mesoy
124	Bø	Bo
125	Spydeberg	Spydeberg
126	Klæbu	Klaebu
127	Sandnessjøen	Sandnessjoen
128	Kvinesdal	Kvinesdal
129	Andebu	Andebu
130	Surnadal	Surnadal
131	Vereide	Vereide
132	Sveio	Sveio
133	Vadsø	Vadso
134	Stavern	Stavern
135	Våler	Valer
136	Nord-Fron	Nord-Fron
137	Tynset	Tynset
138	Balsfjord	Balsfjord
139	Hobøl	Hobol
140	Trøgstad	Trogstad
141	Hareid	Hareid
142	Austevoll	Austevoll
143	Frei	Frei
144	Birkenes	Birkenes
145	Øyer	Oyer
146	Hitra	Hitra
147	Sand	Sand
148	Svolvær	Svolvaer
149	Finnsnes	Finnsnes
150	Kirkenes	Kirkenes
151	Rørvik	Rorvik
152	Kaupanger	Kaupanger
153	Holmestrand	Holmestrand
154	Vossevangen	Vossevangen
