	city	city_ascii
0	Karachi	Karachi
1	Lahore	Lahore
2	Faisalabad	Faisalabad
3	Rawalpindi	Rawalpindi
4	Gujranwala	Gujranwala
5	Peshawar	Peshawar
6	Multan	Multan
7	Saidu Sharif	Saidu Sharif
8	Hyderabad City	Hyderabad City
9	Islamabad	Islamabad
10	Quetta	Quetta
11	Bahawalpur	Bahawalpur
12	Sargodha	Sargodha
13	Sialkot City	Sialkot City
14	Sukkur	Sukkur
15	Larkana	Larkana
16	Chiniot	Chiniot
17	Shekhupura	Shekhupura
18	Jhang City	Jhang City
19	Dera Ghazi Khan	Dera Ghazi Khan
20	Gujrat	Gujrat
21	Rahimyar Khan	Rahimyar Khan
22	Kasur	Kasur
23	Mardan	Mardan
24	Mingaora	Mingaora
25	Nawabshah	Nawabshah
26	Sahiwal	Sahiwal
27	Mirpur Khas	Mirpur Khas
28	Okara	Okara
29	Mandi Burewala	Mandi Burewala
30	Jacobabad	Jacobabad
31	Saddiqabad	Saddiqabad
32	Kohat	Kohat
33	Muridke	Muridke
34	Muzaffargarh	Muzaffargarh
35	Khanpur	Khanpur
36	Gojra	Gojra
37	Mandi Bahauddin	Mandi Bahauddin
38	Abbottabad	Abbottabad
39	Turbat	Turbat
40	Dadu	Dadu
41	Bahawalnagar	Bahawalnagar
42	Khuzdar	Khuzdar
43	Pakpattan	Pakpattan
44	Tando Allahyar	Tando Allahyar
45	Jaranwala	Jaranwala
46	Ahmadpur East	Ahmadpur East
47	Vihari	Vihari
48	New Mirpur	New Mirpur
49	Kamalia	Kamalia
50	Kot Addu	Kot Addu
51	Nowshera	Nowshera
52	Swabi	Swabi
53	Khushab	Khushab
54	Dera Ismail Khan	Dera Ismail Khan
55	Chaman	Chaman
56	Charsadda	Charsadda
57	Kandhkot	Kandhkot
58	Chishtian	Chishtian
59	Hasilpur	Hasilpur
60	Attock Khurd	Attock Khurd
61	Muzaffarabad	Muzaffarabad
62	Mianwali	Mianwali
63	Jalalpur Jattan	Jalalpur Jattan
64	Bhakkar	Bhakkar
65	Zhob	Zhob
66	Dipalpur	Dipalpur
67	Kharian	Kharian
68	Mian Channun	Mian Channun
69	Bhalwal	Bhalwal
70	Jamshoro	Jamshoro
71	Pattoki	Pattoki
72	Harunabad	Harunabad
73	Kahror Pakka	Kahror Pakka
74	Toba Tek Singh	Toba Tek Singh
75	Samundri	Samundri
76	Shakargarh	Shakargarh
77	Sambrial	Sambrial
78	Shujaabad	Shujaabad
79	Hujra Shah Muqim	Hujra Shah Muqim
80	Kabirwala	Kabirwala
81	Mansehra	Mansehra
82	Lala Musa	Lala Musa
83	Chunian	Chunian
84	Nankana Sahib	Nankana Sahib
85	Bannu	Bannu
86	Pasrur	Pasrur
87	Timargara	Timargara
88	Parachinar	Parachinar
89	Chenab Nagar	Chenab Nagar
90	Abdul Hakim	Abdul Hakim
91	Gwadar	Gwadar
92	Hassan Abdal	Hassan Abdal
93	Tank	Tank
94	Hangu	Hangu
95	Risalpur Cantonment	Risalpur Cantonment
96	Karak	Karak
97	Kundian	Kundian
98	Umarkot	Umarkot
99	Chitral	Chitral
100	Dainyor	Dainyor
101	Kulachi	Kulachi
102	Kalat	Kalat
103	Kotli	Kotli
104	Murree	Murree
105	Mithi	Mithi
106	Mian Sahib	Mian Sahib
107	Gilgit	Gilgit
108	Gilwala	Gilwala
