	city	city_ascii
0	Asunción	Asuncion
1	Ciudad del Este	Ciudad del Este
2	San Lorenzo	San Lorenzo
3	Encarnación	Encarnacion
4	Pedro Juan Caballero	Pedro Juan Caballero
5	Coronel Oviedo	Coronel Oviedo
6	Concepción	Concepcion
7	Areguá	Aregua
8	San Antonio	San Antonio
9	Villarrica	Villarrica
10	Salto del Guairá	Salto del Guaira
11	San Pedro de Ycuamandiyú	San Pedro de Ycuamandiyu
12	Pilar	Pilar
13	Caacupé	Caacupe
14	Paraguarí	Paraguari
15	Filadelfia	Filadelfia
16	Villa Hayes	Villa Hayes
17	San Juan Bautista	San Juan Bautista
18	Caazapá	Caazapa
19	Fuerte Olimpo	Fuerte Olimpo
20	Itá	Ita
21	Ypané	Ypane
22	San Ignacio	San Ignacio
23	Yaguarón	Yaguaron
24	Ypacaraí	Ypacarai
25	Tobatí	Tobati
26	Bella Vista	Bella Vista
27	Horqueta	Horqueta
28	Coronel Bogado	Coronel Bogado
29	Belén	Belen
30	Hohenau	Hohenau
31	Villa del Rosario	Villa del Rosario
32	Puerto Casado	Puerto Casado
33	Arroyos y Esteros	Arroyos y Esteros
34	Abaí	Abai
35	Villa Ygatimí	Villa Ygatimi
36	Mariscal José Félix Estigarribia	Mariscal Jose Felix Estigarribia
37	Pozo Colorado	Pozo Colorado
38	Ñacunday	Nacunday
39	Capitán Pablo Lagerenza	Capitan Pablo Lagerenza
40	General Eugenio A. Garay	General Eugenio A. Garay
41	Ypejhú	Ypejhu
42	Puerto Pinasco	Puerto Pinasco
