	city	city_ascii
0	Lima	Lima
1	Callao	Callao
2	Arequipa	Arequipa
3	Trujillo	Trujillo
4	Chiclayo	Chiclayo
5	Chimbote	Chimbote
6	Piura	Piura
7	Cusco	Cusco
8	Huancayo	Huancayo
9	Iquitos	Iquitos
10	Pucallpa	Pucallpa
11	Juliaca	Juliaca
12	Tacna	Tacna
13	Ica	Ica
14	Tarapoto	Tarapoto
15	Huacho	Huacho
16	Cajamarca	Cajamarca
17	Huánuco	Huanuco
18	Ayacucho	Ayacucho
19	Paita	Paita
20	Sullana	Sullana
21	Huaycan	Huaycan
22	Barranca	Barranca
23	Puno	Puno
24	Huaraz	Huaraz
25	Pisco	Pisco
26	Talara	Talara
27	Tumbes	Tumbes
28	Puerto Maldonado	Puerto Maldonado
29	Abancay	Abancay
30	Moquegua	Moquegua
31	Cerro de Pasco	Cerro de Pasco
32	Moyobamba	Moyobamba
33	Huancavelica	Huancavelica
34	Chachapoyas	Chachapoyas
35	Chosica	Chosica
36	Andahuaylas	Andahuaylas
37	Huaral	Huaral
38	Chulucanas	Chulucanas
39	Ilo	Ilo
40	Chincha Alta	Chincha Alta
41	Yurimaguas	Yurimaguas
42	Lambayeque	Lambayeque
43	Sicuani	Sicuani
44	Chota	Chota
45	Tarma	Tarma
46	Jaén	Jaen
47	Tingo María	Tingo Maria
48	Bagua Grande	Bagua Grande
49	Huaura	Huaura
50	Juanjuí	Juanjui
51	Virú	Viru
52	Chancay	Chancay
53	Forbe Oroya	Forbe Oroya
54	Ferreñafe	Ferrenafe
55	Sechura	Sechura
56	Pativilca	Pativilca
57	Huamachuco	Huamachuco
58	Huanta	Huanta
59	Casma	Casma
60	Tocache Nuevo	Tocache Nuevo
61	Jauja	Jauja
62	Mollendo	Mollendo
63	Pacasmayo	Pacasmayo
64	San Vicente de Cañete	San Vicente de Canete
65	Otuzco	Otuzco
66	Santo Tomás	Santo Tomas
67	Carás	Caras
68	Nazca	Nazca
69	Camaná	Camana
70	Juli	Juli
71	Ayaviri	Ayaviri
72	Contamana	Contamana
73	Requena	Requena
74	Zarumilla	Zarumilla
75	San Pedro de Lloc	San Pedro de Lloc
76	Puerto Pimentel	Puerto Pimentel
77	Huarmey	Huarmey
78	Ilave	Ilave
79	Puquio	Puquio
80	Junín	Junin
81	San Ramón	San Ramon
82	Lamas	Lamas
83	Motupe	Motupe
84	Cajabamba	Cajabamba
85	Chilca	Chilca
86	Oxapampa	Oxapampa
87	Santiago	Santiago
88	Salaverry	Salaverry
89	Satipo	Satipo
90	Yungay	Yungay
91	Coracora	Coracora
92	Desaguadero	Desaguadero
93	Caballococha	Caballococha
94	Urubamba	Urubamba
95	Nauta	Nauta
96	Olmos	Olmos
97	Putina	Putina
98	Tournavista	Tournavista
99	Güeppí	Gueppi
100	Rocafuerte	Rocafuerte
101	Andoas	Andoas
102	Puca Urco	Puca Urco
103	Soldado Bartra	Soldado Bartra
