	city	city_ascii
0	Manila	Manila
1	Quezon City	Quezon City
2	Davao	Davao
3	Caloocan City	Caloocan City
4	Cebu City	Cebu City
5	Zamboanga City	Zamboanga City
6	Taguig City	Taguig City
7	Pasig City	Pasig City
8	Antipolo	Antipolo
9	City of Parañaque	City of Paranaque
10	Cagayan de Oro	Cagayan de Oro
11	Dasmariñas	Dasmarinas
12	Valenzuela	Valenzuela
13	Bacoor	Bacoor
14	Las Piñas City	Las Pinas City
15	General Santos	General Santos
16	Makati City	Makati City
17	San Jose del Monte	San Jose del Monte
18	Bacolod	Bacolod
19	Muntinlupa City	Muntinlupa City
20	Marikina City	Marikina City
21	City of Calamba	City of Calamba
22	Iloilo	Iloilo
23	Pasay City	Pasay City
24	Mandaluyong City	Mandaluyong City
25	Angeles City	Angeles City
26	Lapu-Lapu City	Lapu-Lapu City
27	Imus	Imus
28	Malabon	Malabon
29	Mandaue City	Mandaue City
30	Rodriguez	Rodriguez
31	Santa Rosa	Santa Rosa
32	San Pedro	San Pedro
33	Baguio City	Baguio City
34	Tarlac City	Tarlac City
35	Iligan	Iligan
36	Biñan	Binan
37	Butuan	Butuan
38	Lipa City	Lipa City
39	Batangas	Batangas
40	Cainta	Cainta
41	Taytay	Taytay
42	General Trias	General Trias
43	Cabuyao	Cabuyao
44	San Fernando	San Fernando
45	Cabanatuan City	Cabanatuan City
46	Cotabato	Cotabato
47	Navotas	Navotas
48	Binangonan	Binangonan
49	Lucena	Lucena
50	San Pablo	San Pablo
51	Tagum	Tagum
52	Santa Maria	Santa Maria
53	San Mateo	San Mateo
54	Malolos	Malolos
55	Puerto Princesa	Puerto Princesa
56	Mabalacat	Mabalacat
57	Silang	Silang
58	Tacloban	Tacloban
59	Olongapo	Olongapo
60	Talisay	Talisay
61	Tanza	Tanza
62	Marilao	Marilao
63	Meycauayan	Meycauayan
64	Ormoc	Ormoc
65	Marawi City	Marawi City
66	Pagadian	Pagadian
67	Naga City	Naga City
68	Legazpi City	Legazpi City
69	Valencia	Valencia
70	San Carlos City	San Carlos City
71	Panabo	Panabo
72	Calbayog City	Calbayog City
73	Kabankalan	Kabankalan
74	Santo Tomas	Santo Tomas
75	Dagupan City	Dagupan City
76	Koronadal	Koronadal
77	Tanauan	Tanauan
78	Malaybalay	Malaybalay
79	General Mariano Alvarez	General Mariano Alvarez
80	Bago	Bago
81	Toledo	Toledo
82	Digos	Digos
83	Roxas City	Roxas City
84	Sorsogon	Sorsogon
85	Lubao	Lubao
86	Trece Martires City	Trece Martires City
87	Mexico	Mexico
88	Cadiz	Cadiz
89	Concepcion	Concepcion
90	Surigao	Surigao
91	Pikit	Pikit
92	Tuguegarao	Tuguegarao
93	San Miguel	San Miguel
94	Baliuag	Baliuag
95	Polomolok	Polomolok
96	Midsayap	Midsayap
97	Sariaya	Sariaya
98	Sagay	Sagay
99	San Juan	San Juan
100	Ilagan	Ilagan
101	San Jose	San Jose
102	Ozamiz City	Ozamiz City
103	Mati	Mati
104	Kidapawan	Kidapawan
105	Capas	Capas
106	San Jose	San Jose
107	Danao	Danao
108	Santiago	Santiago
109	Dumaguete City	Dumaguete City
110	Consolacion	Consolacion
111	Tabaco	Tabaco
112	Nasugbu	Nasugbu
113	Arayat	Arayat
114	Calapan	Calapan
115	Urdaneta	Urdaneta
116	Minglanilla	Minglanilla
117	San Carlos	San Carlos
118	Dipolog	Dipolog
119	Malasiqui	Malasiqui
120	Hagonoy	Hagonoy
121	La Trinidad	La Trinidad
122	Calabayan	Calabayan
123	Mariveles	Mariveles
124	Daraga	Daraga
125	Silay	Silay
126	Jolo	Jolo
127	Floridablanca	Floridablanca
128	Talavera	Talavera
129	Gingoog	Gingoog
130	Porac	Porac
131	Bocaue	Bocaue
132	San Fernando	San Fernando
133	Poblacion	Poblacion
134	Carcar	Carcar
135	Santa Cruz	Santa Cruz
136	Guagua	Guagua
137	Santo Tomas	Santo Tomas
138	Guimba	Guimba
139	Glan	Glan
140	Tanay	Tanay
141	Candelaria	Candelaria
142	Bayawan	Bayawan
143	Malita	Malita
144	Angono	Angono
145	Rosario	Rosario
146	Naga	Naga
147	Magalang	Magalang
148	Los Baños	Los Banos
149	Rosario	Rosario
150	City of Isabela	City of Isabela
151	Naic	Naic
152	Iriga City	Iriga City
153	Cavite City	Cavite City
154	Candaba	Candaba
155	Laoag	Laoag
156	Ligao	Ligao
157	Norzagaray	Norzagaray
158	Gapan	Gapan
159	Plaridel	Plaridel
160	Tabuk	Tabuk
161	Calumpit	Calumpit
162	Apalit	Apalit
163	Baybay	Baybay
164	Libmanan	Libmanan
165	San Juan	San Juan
166	Mangaldan	Mangaldan
167	Tagbilaran City	Tagbilaran City
168	Dinalupihan	Dinalupihan
169	Himamaylan	Himamaylan
170	Daet	Daet
171	Subic	Subic
172	Lingayen	Lingayen
173	San Ildefonso	San Ildefonso
174	Samal	Samal
175	Quezon	Quezon
176	Catbalogan	Catbalogan
177	Pateros	Pateros
178	Maluñgun	Malungun
179	Guiguinto	Guiguinto
180	Bayugan	Bayugan
181	Naujan	Naujan
182	Talisay	Talisay
183	Cawayan	Cawayan
184	Maramag	Maramag
185	Bongao	Bongao
186	Carmona	Carmona
187	Bulan	Bulan
188	Manolo Fortich	Manolo Fortich
189	Pulilan	Pulilan
190	Balanga	Balanga
191	Masbate	Masbate
192	Catarman	Catarman
193	Pandi	Pandi
194	Isulan	Isulan
195	Kawit	Kawit
196	Maasin	Maasin
197	Prosperidad	Prosperidad
198	Nabunturan	Nabunturan
199	Kalibo	Kalibo
200	Alabel	Alabel
201	Balagtas	Balagtas
202	Ipil	Ipil
203	Virac	Virac
204	Cabadbaran	Cabadbaran
205	Borongan	Borongan
206	San Jose	San Jose
207	Poblacion	Poblacion
208	Bayombong	Bayombong
209	Teresa	Teresa
210	Caridad	Caridad
211	Pavia	Pavia
212	Tandag	Tandag
213	Vigan	Vigan
214	Naval	Naval
215	Boac	Boac
216	Iba	Iba
217	Noveleta	Noveleta
218	Bangued	Bangued
219	Tubod	Tubod
220	Mamburao	Mamburao
221	Palayan City	Palayan City
222	San Roque	San Roque
223	Baler	Baler
224	Romblon	Romblon
225	Mambajao	Mambajao
226	Jordan	Jordan
227	Shariff Aguak	Shariff Aguak
228	Cabarroguis	Cabarroguis
229	Camaligan	Camaligan
230	Siquijor	Siquijor
231	Bontoc	Bontoc
232	General Emilio Aguinaldo	General Emilio Aguinaldo
233	Lagawe	Lagawe
234	Magugpo Poblacion	Magugpo Poblacion
235	Oroquieta	Oroquieta
236	Basco	Basco
237	Kabugao	Kabugao
238	Santa Cruz	Santa Cruz
239	Koronadal	Koronadal
240	San Jose	San Jose
241	Tabuk	Tabuk
242	Pili	Pili
243	Tiaong	Tiaong
244	Tayabas	Tayabas
245	Sindangan	Sindangan
246	Tacurong	Tacurong
247	Calasiao	Calasiao
248	Guihulñgan	Guihulngan
249	Carmen	Carmen
250	Lopez	Lopez
251	M’lang	M'lang
252	Sultan Kudarat	Sultan Kudarat
253	San Rafael	San Rafael
254	Monkayo	Monkayo
255	Bislig	Bislig
256	Escalante	Escalante
257	Lemery	Lemery
258	Paniqui	Paniqui
259	Bauan	Bauan
260	Balayan	Balayan
261	Santa Cruz	Santa Cruz
262	Palimbang	Palimbang
263	Pili	Pili
264	Alaminos	Alaminos
265	Oton	Oton
266	Kabacan	Kabacan
267	Parang	Parang
268	Salaman	Salaman
269	Polangui	Polangui
270	Victorias	Victorias
271	Gerona	Gerona
272	Compostela	Compostela
273	Balamban	Balamban
274	Pinamalayan	Pinamalayan
275	Aroroy	Aroroy
276	Hinigaran	Hinigaran
277	Pongotan	Pongotan
278	Daanbantayan	Daanbantayan
279	Nabua	Nabua
