	city	city_ascii
0	San Juan	San Juan
1	Bayamón	Bayamon
2	Carolina	Carolina
3	Ponce	Ponce
4	Caguas	Caguas
5	Guaynabo	Guaynabo
6	Trujillo Alto	Trujillo Alto
7	Levittown	Levittown
8	Guayama	Guayama
9	Yauco	Yauco
10	Cayey	Cayey
11	Manatí	Manati
12	Río Grande	Rio Grande
13	Coamo	Coamo
14	Pájaros	Pajaros
15	Sabana Grande	Sabana Grande
16	Juncos	Juncos
17	Luquillo	Luquillo
18	Gurabo	Gurabo
19	Sabana Seca	Sabana Seca
20	San Lorenzo	San Lorenzo
21	Yabucoa	Yabucoa
22	San Isidro	San Isidro
23	Las Piedras	Las Piedras
24	Puerto Real	Puerto Real
25	Arroyo	Arroyo
26	Cidra	Cidra
27	Añasco	Anasco
28	Santa Isabel	Santa Isabel
29	Naguabo	Naguabo
30	Peñuelas	Penuelas
31	Salinas	Salinas
32	Mayagüez	Mayaguez
33	Arecibo	Arecibo
34	Fajardo	Fajardo
35	Cataño	Catano
36	Vega Baja	Vega Baja
37	Humacao	Humacao
38	Candelaria	Candelaria
39	Dorado	Dorado
40	Hormigueros	Hormigueros
41	San Germán	San German
42	Aguadilla	Aguadilla
43	Isabela	Isabela
44	Vega Alta	Vega Alta
45	Corozal	Corozal
46	Cabo Rojo	Cabo Rojo
47	San Sebastián	San Sebastian
48	Aibonito	Aibonito
49	San Antonio	San Antonio
50	Canóvanas	Canovanas
51	Utuado	Utuado
52	Guánica	Guanica
53	Juana Díaz	Juana Diaz
54	Ceiba	Ceiba
55	Coco	Coco
