	city	city_ascii
0	Bucharest	Bucharest
1	Timişoara	Timisoara
2	Cluj-Napoca	Cluj-Napoca
3	Iaşi	Iasi
4	Braşov	Brasov
5	Constanţa	Constanta
6	Craiova	Craiova
7	Galaţi	Galati
8	Ploieşti	Ploiesti
9	Oradea	Oradea
10	Brăila	Braila
11	Arad	Arad
12	Piteşti	Pitesti
13	Sibiu	Sibiu
14	Bacău	Bacau
15	Târgu-Mureş	Targu-Mures
16	Baia Mare	Baia Mare
17	Buzău	Buzau
18	Botoşani	Botosani
19	Satu Mare	Satu Mare
20	Râmnicu Vâlcea	Ramnicu Valcea
21	Drobeta-Turnu Severin	Drobeta-Turnu Severin
22	Suceava	Suceava
23	Tulcea	Tulcea
24	Piatra Neamţ	Piatra Neamt
25	Reşiţa	Resita
26	Târgu Jiu	Targu Jiu
27	Târgovişte	Targoviste
28	Focşani	Focsani
29	Bistriţa	Bistrita
30	Slatina	Slatina
31	Călăraşi	Calarasi
32	Alba Iulia	Alba Iulia
33	Giurgiu	Giurgiu
34	Hunedoara	Hunedoara
35	Bârlad	Barlad
36	Zalău	Zalau
37	Sfântu-Gheorghe	Sfantu-Gheorghe
38	Vaslui	Vaslui
39	Slobozia	Slobozia
40	Alexandria	Alexandria
41	Miercurea-Ciuc	Miercurea-Ciuc
42	Roşu	Rosu
43	Dobroeşti	Dobroesti
44	Dancu	Dancu
45	Lunca Cetăţuii	Lunca Cetatuii
46	Deva	Deva
47	Roman	Roman
48	Turda	Turda
49	Mediaş	Medias
50	Voluntari	Voluntari
51	Lugoj	Lugoj
52	Medgidia	Medgidia
53	Oneşti	Onesti
54	Sighetu Marmaţiei	Sighetu Marmatiei
55	Petroşani	Petrosani
56	Mangalia	Mangalia
57	Tecuci	Tecuci
58	Odorheiu Secuiesc	Odorheiu Secuiesc
59	Râmnicu Sărat	Ramnicu Sarat
60	Câmpina	Campina
61	Paşcani	Pascani
62	Reghin	Reghin
63	Dej	Dej
64	Năvodari	Navodari
65	Câmpulung	Campulung
66	Mioveni	Mioveni
67	Făgăraş	Fagaras
68	Caracal	Caracal
69	Săcele	Sacele
70	Feteşti	Fetesti
71	Sighişoara	Sighisoara
72	Curtea de Argeş	Curtea de Arges
73	Borşa	Borsa
74	Roşiori de Vede	Rosiori de Vede
75	Sebeş	Sebes
76	Huşi	Husi
77	Fălticeni	Falticeni
78	Olteniţa	Oltenita
79	Pantelimon	Pantelimon
80	Turnu Măgurele	Turnu Magurele
81	Caransebeş	Caransebes
82	Dorohoi	Dorohoi
83	Rădăuţi	Radauti
84	Vulcan	Vulcan
85	Lupeni	Lupeni
86	Zărneşti	Zarnesti
87	Câmpia Turzii	Campia Turzii
88	Aiud	Aiud
89	Petrila	Petrila
90	Buftea	Buftea
91	Târnăveni	Tarnaveni
92	Popeşti-Leordeni	Popesti-Leordeni
93	Moineşti	Moinesti
94	Codlea	Codlea
95	Gherla	Gherla
96	Cugir	Cugir
97	Carei	Carei
98	Blaj	Blaj
99	Scobinţi	Scobinti
100	Floreşti	Floresti
101	Comăneşti	Comanesti
102	Motru	Motru
103	Moreni	Moreni
104	Târgu Neamţ	Targu Neamt
105	Târgu Secuiesc	Targu Secuiesc
106	Toflea	Toflea
107	Orăştie	Orastie
108	Balş	Bals
109	Gheorgheni	Gheorgheni
110	Drăgăşani	Dragasani
111	Băicoi	Baicoi
112	Salonta	Salonta
113	Băileşti	Bailesti
114	Calafat	Calafat
115	Filiaşi	Filiasi
116	Cernavodă	Cernavoda
117	Câmpulung Moldovenesc	Campulung Moldovenesc
118	Corabia	Corabia
119	Adjud	Adjud
120	Breaza	Breaza
121	Bragadiru	Bragadiru
122	Bocşa	Bocsa
123	Marghita	Marghita
124	Baia-Sprie	Baia-Sprie
125	Urziceni	Urziceni
126	Luduş	Ludus
127	Chitila	Chitila
128	Râşnov	Rasnov
129	Vişeu de Sus	Viseu de Sus
130	Mizil	Mizil
131	Buhuşi	Buhusi
132	Brad	Brad
133	Pucioasa	Pucioasa
134	Vatra Dornei	Vatra Dornei
135	Cisnădie	Cisnadie
136	Otopeni	Otopeni
137	Zimnicea	Zimnicea
138	Ovidiu	Ovidiu
139	Topliţa	Toplita
140	Găeşti	Gaesti
141	Gura Humorului	Gura Humorului
142	Jimbolia	Jimbolia
143	Vicovu de Sus	Vicovu de Sus
144	Ocna Mureş	Ocna Mures
145	Bolintin Vale	Bolintin Vale
