	city	city_ascii
0	Moscow	Moscow
1	Saint Petersburg	Saint Petersburg
2	Novosibirsk	Novosibirsk
3	Yekaterinburg	Yekaterinburg
4	Nizhniy Novgorod	Nizhniy Novgorod
5	Kazan	Kazan
6	Chelyabinsk	Chelyabinsk
7	Omsk	Omsk
8	Samara	Samara
9	Rostov	Rostov
10	Ufa	Ufa
11	Krasnoyarsk	Krasnoyarsk
12	Voronezh	Voronezh
13	Perm	Perm
14	Volgograd	Volgograd
15	Krasnodar	Krasnodar
16	Saratov	Saratov
17	Tyumen	Tyumen
18	Tolyatti	Tolyatti
19	Izhevsk	Izhevsk
20	Barnaul	Barnaul
21	Ulyanovsk	Ulyanovsk
22	Irkutsk	Irkutsk
23	Khabarovsk	Khabarovsk
24	Yaroslavl	Yaroslavl
25	Vladivostok	Vladivostok
26	Makhachkala	Makhachkala
27	Tomsk	Tomsk
28	Orenburg	Orenburg
29	Kemerovo	Kemerovo
30	Novokuznetsk	Novokuznetsk
31	Ryazan	Ryazan
32	Astrakhan	Astrakhan
33	Naberezhnyye Chelny	Naberezhnyye Chelny
34	Penza	Penza
35	Lipetsk	Lipetsk
36	Kirov	Kirov
37	Cheboksary	Cheboksary
38	Tula	Tula
39	Kaliningrad	Kaliningrad
40	Balashikha	Balashikha
41	Kursk	Kursk
42	Stavropol	Stavropol
43	Ulan-Ude	Ulan-Ude
44	Tver	Tver
45	Magnitogorsk	Magnitogorsk
46	Sochi	Sochi
47	Ivanovo	Ivanovo
48	Bryansk	Bryansk
49	Belgorod	Belgorod
50	Surgut	Surgut
51	Vladimir	Vladimir
52	Nizhniy Tagil	Nizhniy Tagil
53	Arkhangelsk	Arkhangelsk
54	Chita	Chita
55	Kaluga	Kaluga
56	Smolensk	Smolensk
57	Volzhskiy	Volzhskiy
58	Kurgan	Kurgan
59	Cherepovets	Cherepovets
60	Vologda	Vologda
61	Saransk	Saransk
62	Orël	Orel
63	Vladikavkaz	Vladikavkaz
64	Yakutsk	Yakutsk
65	Podolsk	Podolsk
66	Murmansk	Murmansk
67	Tambov	Tambov
68	Groznyy	Groznyy
69	Sterlitamak	Sterlitamak
70	Petrozavodsk	Petrozavodsk
71	Kostroma	Kostroma
72	Nizhnevartovsk	Nizhnevartovsk
73	Novorossiysk	Novorossiysk
74	Yoshkar-Ola	Yoshkar-Ola
75	Nalchik	Nalchik
76	Engels	Engels
77	Taganrog	Taganrog
78	Komsomol’sk-na-Amure	Komsomol'sk-na-Amure
79	Syktyvkar	Syktyvkar
80	Khimki	Khimki
81	Nizhnekamsk	Nizhnekamsk
82	Shakhty	Shakhty
83	Dzerzhinsk	Dzerzhinsk
84	Bratsk	Bratsk
85	Orsk	Orsk
86	Noginsk	Noginsk
87	Kolpino	Kolpino
88	Angarsk	Angarsk
89	Korolëv	Korolev
90	Blagoveshchensk	Blagoveshchensk
91	Velikiy Novgorod	Velikiy Novgorod
92	Staryy Oskol	Staryy Oskol
93	Pskov	Pskov
94	Mytishchi	Mytishchi
95	Biysk	Biysk
96	Lyubertsy	Lyubertsy
97	Prokopyevsk	Prokopyevsk
98	Yuzhno-Sakhalinsk	Yuzhno-Sakhalinsk
99	Armavir	Armavir
100	Balakovo	Balakovo
101	Rybinsk	Rybinsk
102	Severodvinsk	Severodvinsk
103	Abakan	Abakan
104	Petropavlovsk-Kamchatskiy	Petropavlovsk-Kamchatskiy
105	Norilsk	Norilsk
106	Syzran	Syzran
107	Orekhovo-Borisovo Yuzhnoye	Orekhovo-Borisovo Yuzhnoye
108	Krasnogorsk	Krasnogorsk
109	Volgodonsk	Volgodonsk
110	Kamensk-Ural’skiy	Kamensk-Ural'skiy
111	Ussuriysk	Ussuriysk
112	Novocherkassk	Novocherkassk
113	Zlatoust	Zlatoust
114	Elektrostal	Elektrostal
115	Salavat	Salavat
116	Almetyevsk	Almetyevsk
117	Miass	Miass
118	Nakhodka	Nakhodka
119	Kopeysk	Kopeysk
120	Pyatigorsk	Pyatigorsk
121	Rubtsovsk	Rubtsovsk
122	Odintsovo	Odintsovo
123	Kolomna	Kolomna
124	Berezniki	Berezniki
125	Khasavyurt	Khasavyurt
126	Maykop	Maykop
127	Kovrov	Kovrov
128	Kislovodsk	Kislovodsk
129	Serpukhov	Serpukhov
130	Novocheboksarsk	Novocheboksarsk
131	Bataysk	Bataysk
132	Domodedovo	Domodedovo
133	Kaspiysk	Kaspiysk
134	Neftekamsk	Neftekamsk
135	Nefteyugansk	Nefteyugansk
136	Shchelkovo	Shchelkovo
137	Novomoskovsk	Novomoskovsk
138	Pervouralsk	Pervouralsk
139	Cherkessk	Cherkessk
140	Derbent	Derbent
141	Orekhovo-Zuyevo	Orekhovo-Zuyevo
142	Nazran	Nazran
143	Nevinnomyssk	Nevinnomyssk
144	Reutov	Reutov
145	Obninsk	Obninsk
146	Kyzyl	Kyzyl
147	Dimitrovgrad	Dimitrovgrad
148	Ramenskoye	Ramenskoye
149	Oktyabr’skiy	Oktyabr'skiy
150	Novyy Urengoy	Novyy Urengoy
151	Kamyshin	Kamyshin
152	Dolgoprudnyy	Dolgoprudnyy
153	Zhukovskiy	Zhukovskiy
154	Murom	Murom
155	Yessentuki	Yessentuki
156	Novoshakhtinsk	Novoshakhtinsk
157	Seversk	Seversk
158	Arzamas	Arzamas
159	Artëm	Artem
160	Noyabrsk	Noyabrsk
161	Achinsk	Achinsk
162	Yelets	Yelets
163	Pushkino	Pushkino
164	Berdsk	Berdsk
165	Sergiyev Posad	Sergiyev Posad
166	Elista	Elista
167	Novokuybyshevsk	Novokuybyshevsk
