	city	city_ascii
0	Riyadh	Riyadh
1	Jeddah	Jeddah
2	Mecca	Mecca
3	Medina	Medina
4	Ad Dammām	Ad Dammam
5	Al Hufūf	Al Hufuf
6	Buraydah	Buraydah
7	Al Ḩillah	Al Hillah
8	Aţ Ţā’if	At Ta'if
9	Tabūk	Tabuk
10	Khamīs Mushayţ	Khamis Mushayt
11	Ḩā’il	Ha'il
12	Al Qaţīf	Al Qatif
13	Al Mubarraz	Al Mubarraz
14	Al Kharj	Al Kharj
15	Najrān	Najran
16	Yanbu‘	Yanbu`
17	Ḩafr al Bāţin	Hafr al Batin
18	Al Jubayl	Al Jubayl
19	Abhā	Abha
20	Al Khubar	Al Khubar
21	Arar	Arar
22	Al Ḩawīyah	Al Hawiyah
23	Dhahran	Dhahran
24	Jāzān	Jazan
25	Sakākā	Sakaka
26	Al Bāḩah	Al Bahah
27	Qal‘at Bīshah	Qal`at Bishah
28	Rafḩā	Rafha
29	Al Majma‘ah	Al Majma`ah
30	Ad Dir‘īyah	Ad Dir`iyah
31	Al Wajh	Al Wajh
32	Laylá	Layla
33	As Sulayyil	As Sulayyil
34	Dawmat al Jandal	Dawmat al Jandal
35	Al Kilābīyah	Al Kilabiyah
36	Ḑurumā	Duruma
37	Jubbah	Jubbah
38	Al Qurayyāt	Al Qurayyat
39	Al Quway‘īyah	Al Quway`iyah
40	Na‘jān	Na`jan
41	Al Qunfudhah	Al Qunfudhah
