	city	city_ascii
0	Belgrade	Belgrade
1	Novi Sad	Novi Sad
2	Niš	Nis
3	Zemun	Zemun
4	Kragujevac	Kragujevac
5	Subotica	Subotica
6	Valjevo	Valjevo
7	Loznica	Loznica
8	Zrenjanin	Zrenjanin
9	Pančevo	Pancevo
10	Čačak	Cacak
11	Kraljevo	Kraljevo
12	Novi Pazar	Novi Pazar
13	Leskovac	Leskovac
14	Užice	Uzice
15	Kruševac	Krusevac
16	Vranje	Vranje
17	Sombor	Sombor
18	Kikinda	Kikinda
19	Prijepolje	Prijepolje
20	Vršac	Vrsac
21	Bor	Bor
22	Bačka Palanka	Backa Palanka
23	Priboj	Priboj
24	Bajina Bašta	Bajina Basta
25	Vrbas	Vrbas
26	Ćuprija	Cuprija
27	Senta	Senta
28	Trstenik	Trstenik
29	Bačka Topola	Backa Topola
30	Sjenica	Sjenica
31	Bela Crkva	Bela Crkva
32	Ada	Ada
33	Vrnjačka Banja	Vrnjacka Banja
34	Kanjiža	Kanjiza
35	Žabalj	Zabalj
36	Odžaci	Odzaci
37	Sremski Karlovci	Sremski Karlovci
38	Beočin	Beocin
39	Sokobanja	Sokobanja
40	Lapovo	Lapovo
41	Bački Petrovac	Backi Petrovac
42	Bogatić	Bogatic
43	Bač	Bac
44	Irig	Irig
45	Čoka	Coka
46	Alibunar	Alibunar
47	Jagodina	Jagodina
48	Šabac	Sabac
49	Gornji Milanovac	Gornji Milanovac
50	Požega	Pozega
51	Krupanj	Krupanj
52	Lebane	Lebane
53	Vladičin Han	Vladicin Han
54	Knjaževac	Knjazevac
55	Ljubovija	Ljubovija
56	Smederevska Palanka	Smederevska Palanka
57	Mali Zvornik	Mali Zvornik
58	Surdulica	Surdulica
59	Požarevac	Pozarevac
60	Zaječar	Zajecar
61	Paraćin	Paracin
62	Lučani	Lucani
63	Smederevo	Smederevo
64	Aleksinac	Aleksinac
65	Despotovac	Despotovac
66	Kladovo	Kladovo
67	Pirot	Pirot
68	Vlasotince	Vlasotince
69	Crna Trava	Crna Trava
70	Prokuplje	Prokuplje
71	Batočina	Batocina
72	Dimitrovgrad	Dimitrovgrad
73	Doljevac	Doljevac
74	Velika Plana	Velika Plana
75	Svilajnac	Svilajnac
76	Svrljig	Svrljig
77	Šid	Sid
78	Negotin	Negotin
79	Bojnik	Bojnik
80	Topola	Topola
81	Blace	Blace
82	Apatin	Apatin
83	Arilje	Arilje
84	Kovin	Kovin
85	Boljevac	Boljevac
86	Kosjerić	Kosjeric
87	Ćićevac	Cicevac
88	Plandište	Plandiste
89	Varvarin	Varvarin
90	Ražanj	Razanj
91	Mionica	Mionica
92	Aranđelovac	Arandelovac
93	Kula	Kula
94	Novi Bečej	Novi Becej
95	Bečej	Becej
96	Žitorađa	Zitorada
97	Titel	Titel
98	Merošina	Merosina
99	Stara Pazova	Stara Pazova
100	Bosilegrad	Bosilegrad
101	Knić	Knic
102	Sečanj	Secanj
103	Kovačica	Kovacica
104	Medveđa	Medveda
105	Žitište	Zitiste
106	Čajetina	Cajetina
107	Sremska Mitrovica	Sremska Mitrovica
108	Ivanjica	Ivanjica
109	Inđija	Indija
110	Žabari	Zabari
111	Petrovac na Mlavi	Petrovac na Mlavi
112	Mali Iđoš	Mali Idos
113	Ub	Ub
114	Rača	Raca
115	Srbobran	Srbobran
116	Ljig	Ljig
117	Rekovac	Rekovac
118	Novi Kneževac	Novi Knezevac
119	Lajkovac	Lajkovac
120	Aleksandrovac	Aleksandrovac
121	Malo Crniće	Malo Crnice
122	Kuršumlija	Kursumlija
123	Raška	Raska
124	Golubac	Golubac
125	Pećinci	Pecinci
126	Nova Crnja	Nova Crnja
127	Majdanpek	Majdanpek
128	Ruma	Ruma
129	Vladimirci	Vladimirci
130	Tutin	Tutin
131	Babušnica	Babusnica
132	Brus	Brus
133	Osečina	Osecina
134	Veliko Gradište	Veliko Gradiste
135	Kučevo	Kucevo
136	Koceljeva	Koceljeva
137	Temerin	Temerin
138	Gadžin Han	Gadzin Han
139	Opovo	Opovo
140	Žagubica	Zagubica
141	Trgovište	Trgoviste
142	Nova Varoš	Nova Varos
143	Bela Palanka	Bela Palanka
144	Preševo	Presevo
145	Bujanovac	Bujanovac
146	Batajnica	Batajnica
147	Melenci	Melenci
148	Horgoš	Horgos
149	Banatski Karlovac	Banatski Karlovac
150	Debeljača	Debeljaca
151	Stara Moravica	Stara Moravica
