	city	city_ascii
0	Bratislava	Bratislava
1	Košice	Kosice
2	Petržalka	Petrzalka
3	Prešov	Presov
4	Žilina	Zilina
5	Banská Bystrica	Banska Bystrica
6	Nitra	Nitra
7	Trnava	Trnava
8	Trenčín	Trencin
9	Martin	Martin
10	Poprad	Poprad
11	Prievidza	Prievidza
12	Zvolen	Zvolen
13	Považská Bystrica	Povazska Bystrica
14	Michalovce	Michalovce
15	Nové Zámky	Nove Zamky
16	Spišská Nová Ves	Spisska Nova Ves
17	Humenné	Humenne
18	Komárno	Komarno
19	Levice	Levice
20	Liptovský Mikuláš	Liptovsky Mikulas
21	Bardejov	Bardejov
22	Lučenec	Lucenec
23	Piešťany	Piest'any
24	Ružomberok	Ruzomberok
25	Topoľčany	Topol'cany
26	Trebišov	Trebisov
27	Čadca	Cadca
28	Dubnica nad Váhom	Dubnica nad Vahom
29	Rimavská Sobota	Rimavska Sobota
30	Partizánske	Partizanske
31	Dunajská Streda	Dunajska Streda
32	Vranov nad Topľou	Vranov nad Topl'ou
33	Pezinok	Pezinok
34	Šaľa	Sal'a
35	Hlohovec	Hlohovec
36	Brezno	Brezno
37	Senica	Senica
38	Nové Mesto nad Váhom	Nove Mesto nad Vahom
39	Snina	Snina
40	Senec	Senec
41	Žiar nad Hronom	Ziar nad Hronom
42	Rožňava	Roznava
43	Dolný Kubín	Dolny Kubin
44	Bánovce nad Bebravou	Banovce nad Bebravou
45	Púchov	Puchov
46	Malacky	Malacky
47	Handlová	Handlova
48	Kežmarok	Kezmarok
49	Stará Ľubovňa	Stara L'ubovna
50	Sered’	Sered'
51	Kysucké Nové Mesto	Kysucke Nove Mesto
52	Galanta	Galanta
53	Skalica	Skalica
54	Detva	Detva
55	Levoča	Levoca
56	Šamorín	Samorin
57	Sabinov	Sabinov
58	Veľký Krtíš	Vel'ky Krtis
59	Revúca	Revuca
60	Nová Dubnica	Nova Dubnica
61	Zlaté Moravce	Zlate Moravce
62	Myjava	Myjava
63	Moldava nad Bodvou	Moldava nad Bodvou
64	Svidník	Svidnik
65	Stupava	Stupava
66	Bytča	Bytca
67	Holíč	Holic
68	Fiľakovo	Fil'akovo
69	Štúrovo	Sturovo
70	Stropkov	Stropkov
71	Kolárovo	Kolarovo
72	Banská Štiavnica	Banska Stiavnica
73	Šurany	Surany
74	Tvrdošín	Tvrdosin
75	Svit	Svit
76	Veľké Kapušany	Vel'ke Kapusany
77	Krompachy	Krompachy
78	Modra	Modra
79	Stará Turá	Stara Tura
80	Veľký Meder	Vel'ky Meder
81	Vráble	Vrable
82	Smižany	Smizany
83	Sečovce	Secovce
84	Vrútky	Vrutky
85	Námestovo	Namestovo
86	Krupina	Krupina
87	Liptovský Hrádok	Liptovsky Hradok
88	Kráľovský Chlmec	Kral'ovsky Chlmec
89	Turzovka	Turzovka
90	Hnúšťa	Hnust'a
91	Hriňová	Hrinova
92	Hurbanovo	Hurbanovo
93	Bernolákovo	Bernolakovo
94	Šahy	Sahy
95	Nová Baňa	Nova Bana
96	Trstená	Trstena
97	Tornaľa	Tornal'a
98	Krásno nad Kysucou	Krasno nad Kysucou
99	Lipany	Lipany
100	Želiezovce	Zeliezovce
101	Jarovnice	Jarovnice
102	Spišská Belá	Spisska Bela
103	Ivanka pri Dunaji	Ivanka pri Dunaji
104	Medzilaborce	Medzilaborce
105	Sobrance	Sobrance
106	Turčianske Teplice	Turcianske Teplice
107	Nemšová	Nemsova
108	Žarnovica	Zarnovica
109	Čaňa	Cana
110	Vrbové	Vrbove
111	Gelnica	Gelnica
112	Chorvátský Grob	Chorvatsky Grob
113	Beluša	Belusa
114	Rajec	Rajec
115	Poltár	Poltar
116	Oščadnica	Oscadnica
117	Svätý Jur	Svaty Jur
118	Dobšiná	Dobsina
119	Ilava	Ilava
120	Raková	Rakova
121	Veľký Šariš	Vel'ky Saris
122	Zákamenné	Zakamenne
123	Lendak	Lendak
124	Gabčíkovo	Gabcikovo
125	Kremnica	Kremnica
126	Sládkovičovo	Sladkovicovo
127	Skalité	Skalite
128	Tvrdošovce	Tvrdosovce
129	Gbely	Gbely
130	Rabča	Rabca
131	Nesvady	Nesvady
132	Čierny Balog	Cierny Balog
133	Dvory nad Žitavou	Dvory nad Zitavou
