	city	city_ascii
0	Mogadishu	Mogadishu
1	Jamaame	Jamaame
2	Kismaayo	Kismaayo
3	Baidoa	Baidoa
4	Jawhar	Jawhar
5	Beledweyne	Beledweyne
6	Gaalkacyo	Gaalkacyo
7	Boosaaso	Boosaaso
8	Garbahaarrey	Garbahaarrey
9	Garoowe	Garoowe
10	Marka	Marka
11	Xuddur	Xuddur
12	Bu’aale	Bu'aale
13	Dhuusamarreeb	Dhuusamarreeb
14	Boorama	Boorama
15	Hargeysa	Hargeysa
16	Burco	Burco
17	Laascaanood	Laascaanood
18	Ceerigaabo	Ceerigaabo
19	Luuq	Luuq
20	Baraawe	Baraawe
21	Buurhakaba	Buurhakaba
22	Eyl	Eyl
23	Bandarbeyla	Bandarbeyla
24	Buur Gaabo	Buur Gaabo
25	Qardho	Qardho
26	Mereeg	Mereeg
27	Caluula	Caluula
28	Hurdiyo	Hurdiyo
