	city	city_ascii
0	Johannesburg	Johannesburg
1	Vereeniging	Vereeniging
2	Pretoria	Pretoria
3	Cape Town	Cape Town
4	Bloemfontein	Bloemfontein
5	Pietermaritzburg	Pietermaritzburg
6	Durban	Durban
7	Welkom	Welkom
8	East London	East London
9	Randburg	Randburg
10	Roodepoort	Roodepoort
11	Port Elizabeth	Port Elizabeth
12	Springs	Springs
13	Centurion	Centurion
14	Sandton	Sandton
15	Polokwane	Polokwane
16	Klerksdorp	Klerksdorp
17	Rustenburg	Rustenburg
18	Kimberley	Kimberley
19	Bhisho	Bhisho
20	Benoni	Benoni
21	George	George
22	Middelburg	Middelburg
23	Vryheid	Vryheid
24	Potchefstroom	Potchefstroom
25	Umtata	Umtata
26	Brits	Brits
27	Alberton	Alberton
28	Upington	Upington
29	Paarl	Paarl
30	Uitenhage	Uitenhage
31	Queenstown	Queenstown
32	Mmabatho	Mmabatho
33	Kroonstad	Kroonstad
34	Bethal	Bethal
35	Thohoyandou	Thohoyandou
36	Vryburg	Vryburg
37	Vredenburg	Vredenburg
38	Cradock	Cradock
39	Ulundi	Ulundi
40	Mahikeng	Mahikeng
41	Saron	Saron
42	Nelspruit	Nelspruit
43	Worcester	Worcester
44	Vanderbijlpark	Vanderbijlpark
45	Grahamstown	Grahamstown
46	Standerton	Standerton
47	Brakpan	Brakpan
48	Saldanha	Saldanha
49	Tzaneen	Tzaneen
50	Graaff-Reinet	Graaff-Reinet
51	Oudtshoorn	Oudtshoorn
52	Mossel Bay	Mossel Bay
53	Port Shepstone	Port Shepstone
54	Knysna	Knysna
55	Ladysmith	Ladysmith
56	Kuilsrivier	Kuilsrivier
57	Beaufort West	Beaufort West
58	Aliwal North	Aliwal North
59	Volksrust	Volksrust
60	Musina	Musina
61	Malmesbury	Malmesbury
62	Lebowakgomo	Lebowakgomo
63	De Aar	De Aar
64	Jeffrey’s Bay	Jeffrey's Bay
65	Lichtenburg	Lichtenburg
66	Hermanus	Hermanus
67	Carletonville	Carletonville
68	Komatipoort	Komatipoort
69	Port Alfred	Port Alfred
70	Middelburg	Middelburg
71	Swellendam	Swellendam
72	Bloemhof	Bloemhof
73	Bethlehem	Bethlehem
74	Montagu	Montagu
75	Bredasdorp	Bredasdorp
76	Phalaborwa	Phalaborwa
77	Caledon	Caledon
78	Moorreesburg	Moorreesburg
79	Colesberg	Colesberg
80	Piketberg	Piketberg
81	Brandfort	Brandfort
82	Prieska	Prieska
83	Velddrif	Velddrif
84	Saint Helena Bay	Saint Helena Bay
85	Kuruman	Kuruman
86	Springbok	Springbok
87	Villiersdorp	Villiersdorp
88	Darling	Darling
89	Tulbagh	Tulbagh
90	Citrusdal	Citrusdal
91	Clanwilliam	Clanwilliam
92	Porterville	Porterville
93	Kleinmond	Kleinmond
94	Vanrhynsdorp	Vanrhynsdorp
95	Klawer	Klawer
96	Genadendal	Genadendal
97	Carnarvon	Carnarvon
98	Hopefield	Hopefield
99	Port Saint John’s	Port Saint John's
100	Lambert’s Bay	Lambert's Bay
101	Riviersonderend	Riviersonderend
102	Onrus	Onrus
103	Pofadder	Pofadder
104	Alexander Bay	Alexander Bay
105	Ubombo	Ubombo
