	city	city_ascii
0	Madrid	Madrid
1	Barcelona	Barcelona
2	Sevilla	Sevilla
3	Málaga	Malaga
4	Valencia	Valencia
5	Zaragoza	Zaragoza
6	Palma	Palma
7	Murcia	Murcia
8	Las Palmas	Las Palmas
9	A Coruña	A Coruna
10	Bilbao	Bilbao
11	Alicante	Alicante
12	Córdoba	Cordoba
13	Valladolid	Valladolid
14	Vigo	Vigo
15	Gijón	Gijon
16	Vitoria-Gasteiz	Vitoria-Gasteiz
17	Granada	Granada
18	Elche	Elche
19	Badalona	Badalona
20	Tarrasa	Tarrasa
21	Sabadell	Sabadell
22	Oviedo	Oviedo
23	Petrel	Petrel
24	Cartagena	Cartagena
25	Jerez de la Frontera	Jerez de la Frontera
26	Pamplona	Pamplona
27	Santa Cruz	Santa Cruz
28	León	Leon
29	Almería	Almeria
30	Fuenlabrada	Fuenlabrada
31	Logroño	Logrono
32	Leganés	Leganes
33	Donostia	Donostia
34	Mataró	Mataro
35	Santander	Santander
36	Alcorcón	Alcorcon
37	Castellón de la Plana	Castellon de la Plana
38	Getafe	Getafe
39	Albacete	Albacete
40	Burgos	Burgos
41	Guadalajara	Guadalajara
42	La Laguna	La Laguna
43	Ciudad de Melilla	Ciudad de Melilla
44	Badajoz	Badajoz
45	Salamanca	Salamanca
46	Marbella	Marbella
47	Huelva	Huelva
48	Tarragona	Tarragona
49	Dos Hermanas	Dos Hermanas
50	Torrejón de Ardoz	Torrejon de Ardoz
51	Cádiz	Cadiz
52	Algeciras	Algeciras
53	Jaén	Jaen
54	Reus	Reus
55	Girona	Girona
56	San Vicente de Baracaldo	San Vicente de Baracaldo
57	San Fernando	San Fernando
58	Santiago de Compostela	Santiago de Compostela
59	Fuengirola	Fuengirola
60	Ciudad de Ceuta	Ciudad de Ceuta
61	San Baudilio de Llobregat	San Baudilio de Llobregat
62	Toledo	Toledo
63	Rubí	Rubi
64	Avilés	Aviles
65	Castelldefels	Castelldefels
66	Torremolinos	Torremolinos
67	Benalmádena	Benalmadena
68	Viladecáns	Viladecans
69	Arrecife	Arrecife
70	El Prat de Llobregat	El Prat de Llobregat
71	Collado-Villalba	Collado-Villalba
72	Granollers	Granollers
73	La Línea de la Concepción	La Linea de la Concepcion
74	Portugalete	Portugalete
75	Mislata	Mislata
76	Mérida	Merida
77	Esplugas de Llobregat	Esplugas de Llobregat
78	Mollet	Mollet
79	Ibiza	Ibiza
