	city	city_ascii
0	Colombo	Colombo
1	Sri Jayewardenepura Kotte	Sri Jayewardenepura Kotte
2	Moratuwa	Moratuwa
3	Kandy	Kandy
4	Negombo	Negombo
5	Batticaloa	Batticaloa
6	Trincomalee	Trincomalee
7	Galle	Galle
8	Kilinochchi	Kilinochchi
9	Jaffna	Jaffna
10	Matara	Matara
11	Anuradhapura	Anuradhapura
12	Ratnapura	Ratnapura
13	Puttalam	Puttalam
14	Badulla	Badulla
15	Matale	Matale
16	Nuwara Eliya	Nuwara Eliya
17	Kegalle	Kegalle
18	Hambantota	Hambantota
19	Kurunegala	Kurunegala
20	Mullaittivu	Mullaittivu
21	Mannar	Mannar
