	city	city_ascii
0	Khartoum	Khartoum
1	Omdurman	Omdurman
2	Khartoum North	Khartoum North
3	Kassala	Kassala
4	Port Sudan	Port Sudan
5	El Obeid	El Obeid
6	Gedaref	Gedaref
7	Kūstī	Kusti
8	Wad Medani	Wad Medani
9	El Fasher	El Fasher
10	Kurmuk	Kurmuk
11	Nyala	Nyala
12	Shendi	Shendi
13	Ed Damazin	Ed Damazin
14	Kadugli	Kadugli
15	El Geneina	El Geneina
16	Al Manāqil	Al Manaqil
17	Atbara	Atbara
18	Sannār	Sannar
19	An Nuhūd	An Nuhud
20	EdDamer	EdDamer
21	Dongola	Dongola
22	Rabak	Rabak
23	Singa	Singa
24	Ed Daein	Ed Daein
25	Zalingei	Zalingei
26	El Fula	El Fula
27	Ad Diwem	Ad Diwem
28	Tokār	Tokar
29	Umm Ruwaba	Umm Ruwaba
30	Abū Ḩamad	Abu Hamad
31	Berber	Berber
32	Sawākin	Sawakin
33	Haya	Haya
34	Al Mijlad	Al Mijlad
35	Babanūsah	Babanusah
36	Wādī Ḩalfā’	Wadi Halfa'
37	Marawī	Marawi
38	Karmah an Nuzul	Karmah an Nuzul
