	city	city_ascii
0	Stockholm	Stockholm
1	Gothenburg	Gothenburg
2	Malmö	Malmo
3	Uppsala	Uppsala
4	Uppsala	Uppsala
5	Västerås	Vasteras
6	Örebro	Orebro
7	Linköping	Linkoping
8	Helsingborg	Helsingborg
9	Jönköping	Jonkoping
10	Umeå	Umea
11	Karlstad	Karlstad
12	Gävle	Gavle
13	Växjö	Vaxjo
14	Halmstad	Halmstad
15	Luleå	Lulea
16	Östersund	Ostersund
17	Trollhättan	Trollhattan
18	Kalmar	Kalmar
19	Falun	Falun
20	Karlskrona	Karlskrona
21	Nyköping	Nykoping
22	Visby	Visby
23	Huskvarna	Huskvarna
24	Härnösand	Harnosand
25	Norrköping	Norrkoping
26	Sundsvall	Sundsvall
27	Borås	Boras
28	Borlänge	Borlange
29	Mölndal	Molndal
30	Kristianstad	Kristianstad
31	Skellefteå	Skelleftea
32	Örnsköldsvik	Ornskoldsvik
33	Kiruna	Kiruna
34	Vänersborg	Vanersborg
35	Höganäs	Hoganas
36	Kinna	Kinna
37	Mariestad	Mariestad
38	Mjölby	Mjolby
39	Bollnäs	Bollnas
40	Mora	Mora
41	Ulricehamn	Ulricehamn
42	Tibro	Tibro
43	Habo	Habo
44	Tidaholm	Tidaholm
45	Strömstad	Stromstad
46	Haparanda	Haparanda
47	Hjo	Hjo
48	Kungsör	Kungsor
49	Vårgårda	Vargarda
50	Hjärup	Hjarup
