	city	city_ascii
0	Bern	Bern
1	Zürich	Zurich
2	Geneva	Geneva
3	Basel	Basel
4	Lausanne	Lausanne
5	Winterthur	Winterthur
6	Lucerne	Lucerne
7	Sankt Gallen	Sankt Gallen
8	Biel/Bienne	Biel/Bienne
9	Thun	Thun
10	Bellinzona	Bellinzona
11	Fribourg	Fribourg
12	Vernier	Vernier
13	Schaffhausen	Schaffhausen
14	Chur	Chur
15	Neuchâtel	Neuchatel
16	Yverdon-les-Bains	Yverdon-les-Bains
17	Zug	Zug
18	Carouge	Carouge
19	Dübendorf	Dubendorf
20	Dietikon	Dietikon
21	Vevey	Vevey
22	Renens	Renens
23	Meyrin	Meyrin
24	Onex	Onex
25	Allschwil	Allschwil
26	Opfikon	Opfikon
27	Nyon	Nyon
28	Aarau	Aarau
29	Reinach	Reinach
30	Schlieren	Schlieren
31	Pully	Pully
32	Adliswil	Adliswil
33	Thalwil	Thalwil
34	Ostermundigen	Ostermundigen
35	Morges	Morges
36	Solothurn	Solothurn
37	Binningen	Binningen
38	Wallisellen	Wallisellen
39	Prilly	Prilly
40	Thônex	Thonex
41	Arbon	Arbon
42	La Tour-de-Peilz	La Tour-de-Peilz
43	Liestal	Liestal
44	Chêne-Bougeries	Chene-Bougeries
45	Ecublens	Ecublens
46	Le Grand-Saconnex	Le Grand-Saconnex
47	Rorschach	Rorschach
48	Schwyz	Schwyz
49	Birsfelden	Birsfelden
50	Villars-sur-Glâne	Villars-sur-Glane
51	Delémont	Delemont
52	Männedorf	Mannedorf
53	Chavannes-près-Renens	Chavannes-pres-Renens
54	Massagno	Massagno
55	Widnau	Widnau
56	Epalinges	Epalinges
57	Kilchberg	Kilchberg
58	Nidau	Nidau
59	Sarnen	Sarnen
60	Altdorf	Altdorf
61	Oberengstringen	Oberengstringen
62	Stans	Stans
63	Bottmingen	Bottmingen
64	Rolle	Rolle
65	Préverenges	Preverenges
66	Gerlafingen	Gerlafingen
67	Greifensee	Greifensee
68	Glarus	Glarus
69	Appenzell	Appenzell
70	Lugano	Lugano
71	Köniz	Koniz
72	La Chaux-de-Fonds	La Chaux-de-Fonds
73	Sion	Sion
74	Uster	Uster
75	Landecy	Landecy
76	Emmen	Emmen
77	Rapperswil-Jona	Rapperswil-Jona
78	Kriens	Kriens
79	Montreux	Montreux
80	Wetzikon	Wetzikon
81	Baar	Baar
82	Wil	Wil
83	Kreuzlingen	Kreuzlingen
84	Bulle	Bulle
85	Riehen	Riehen
86	Horgen	Horgen
87	Wädenswil	Wadenswil
88	Frauenfeld	Frauenfeld
89	Wettingen	Wettingen
90	Bülach	Bulach
91	Baden	Baden
92	Kloten	Kloten
93	Volketswil	Volketswil
94	Regensdorf	Regensdorf
95	Muttenz	Muttenz
96	Gossau	Gossau
97	Olten	Olten
98	Littau	Littau
99	Monthey	Monthey
100	Pratteln	Pratteln
101	Grenchen	Grenchen
102	Sierre	Sierre
103	Freienbach	Freienbach
104	Wohlen	Wohlen
105	Burgdorf	Burgdorf
106	Steffisburg	Steffisburg
107	Locarno	Locarno
108	Langenthal	Langenthal
109	Herisau	Herisau
110	Lyss	Lyss
111	Stäfa	Stafa
112	Einsiedeln	Einsiedeln
113	Mendrisio	Mendrisio
114	Küsnacht	Kusnacht
115	Horw	Horw
116	Richterswil	Richterswil
117	Meilen	Meilen
118	Oftringen	Oftringen
119	Muri	Muri
120	Versoix	Versoix
121	Gland	Gland
122	Zollikon	Zollikon
123	Amriswil	Amriswil
124	Rheinfelden	Rheinfelden
125	Münchenstein	Munchenstein
126	Spiez	Spiez
127	Küssnacht	Kussnacht
128	Brig-Glis	Brig-Glis
129	Buchs	Buchs
130	Veyrier	Veyrier
131	Rüti	Ruti
132	Affoltern am Albis	Affoltern am Albis
133	Spreitenbach	Spreitenbach
134	Brugg	Brugg
135	Bassersdorf	Bassersdorf
136	Zofingen	Zofingen
137	Oberwil	Oberwil
138	Plan-les-Ouates	Plan-les-Ouates
139	Romanshorn	Romanshorn
140	Pfäffikon	Pfaffikon
141	Weinfelden	Weinfelden
142	Arth	Arth
143	Altstätten	Altstatten
144	Belp	Belp
145	Worb	Worb
146	Neuhausen am Rheinfall	Neuhausen am Rheinfall
147	Aesch	Aesch
148	Hinwil	Hinwil
149	Möhlin	Mohlin
150	Sursee	Sursee
151	Waltikon	Waltikon
152	Lutry	Lutry
153	Lenzburg	Lenzburg
154	Flawil	Flawil
155	Suhr	Suhr
156	Therwil	Therwil
157	Goldach	Goldach
158	Urdorf	Urdorf
159	Bernex	Bernex
160	Davos	Davos
161	Le Locle	Le Locle
162	Maur	Maur
163	Zuchwil	Zuchwil
164	Hochdorf	Hochdorf
165	Aigle	Aigle
166	Arlesheim	Arlesheim
167	Wittenbach	Wittenbach
168	Gossau	Gossau
169	Neuenhof	Neuenhof
170	Payerne	Payerne
171	Naters	Naters
172	Embrach	Embrach
173	Wald	Wald
174	Steinhaus	Steinhaus
175	Niederhasli	Niederhasli
