	city	city_ascii
0	Aleppo	Aleppo
1	Dayr az Zawr	Dayr az Zawr
2	Damascus	Damascus
3	Homs	Homs
4	Latakia	Latakia
5	Ḩamāh	Hamah
6	Ar Raqqah	Ar Raqqah
7	Al Ḩasakah	Al Hasakah
8	Al Qāmishlī	Al Qamishli
9	Idlib	Idlib
10	Dar‘ā	Dar`a
11	Jaramānā	Jaramana
12	Dūmā	Duma
13	Al Ḩajar al Aswad	Al Hajar al Aswad
14	As Salamīyah	As Salamiyah
15	Ţarţūs	Tartus
16	Dārayyā	Darayya
17	Ath Thawrah	Ath Thawrah
18	As Suwaydā’	As Suwayda'
19	Ḩarastā	Harasta
20	Al Qunayţirah	Al Qunaytirah
21	Ma‘arrat an Nu‘mān	Ma`arrat an Nu`man
22	Manbij	Manbij
23	Jablah	Jablah
24	Nawá	Nawa
25	At Tall	At Tall
26	Ar Rastan	Ar Rastan
27	Khān Shaykhūn	Khan Shaykhun
28	An Nabk	An Nabk
29	Ālbū Kamāl	Albu Kamal
30	Tadmur	Tadmur
31	Al Mayādīn	Al Mayadin
32	‘Āmūdā	`Amuda
33	Yabrūd	Yabrud
34	Al Quşayr	Al Qusayr
35	Tallbīsah	Tallbisah
36	Jisr ash Shughūr	Jisr ash Shughur
37	Bāniyās	Baniyas
38	Tādif	Tadif
39	Sarāqib	Saraqib
40	Jayrūd	Jayrud
41	Al Mālikīyah	Al Malikiyah
42	Hajīn	Hajin
43	Al Qaryatayn	Al Qaryatayn
44	Ma‘arratmişrīn	Ma`arratmisrin
45	Maşyāf	Masyaf
46	Tallkalakh	Tallkalakh
47	Dayr Ḩāfir	Dayr Hafir
48	Tall Salḩab	Tall Salhab
49	Qadsayyā	Qadsayya
50	Ţafas	Tafas
51	Şāfītā	Safita
52	Jāsim	Jasim
53	I‘zāz	I`zaz
54	Ra’s al ‘Ayn	Ra's al `Ayn
55	Şūrān	Suran
56	Tall Rif‘at	Tall Rif`at
57	Az Zabadānī	Az Zabadani
58	Aş Şanamayn	As Sanamayn
59	Şaydnāyā	Saydnaya
60	Salqīn	Salqin
61	Qaţanā	Qatana
62	Binnish	Binnish
63	Ḩārim	Harim
64	‘Adrā	`Adra
65	Buşrá ash Shām	Busra ash Sham
66	Izra	Izra
67	Tall ‘Aran	Tall `Aran
68	Muḩradah	Muhradah
69	As Suqaylibīyah	As Suqaylibiyah
70	Kafr Zaytā	Kafr Zayta
71	Shahbā	Shahba
72	Al Laţāminah	Al Lataminah
73	As Sukhnah	As Sukhnah
74	Kafr Nubl	Kafr Nubl
75	Şalkhad	Salkhad
76	Sarmīn	Sarmin
77	Tall Abyaḑ	Tall Abyad
78	Jindayris	Jindayris
79	Ad Duraykīsh	Ad Duraykish
80	Buşrá al Ḩarīr	Busra al Harir
81	Al Muzayrīb	Al Muzayrib
82	‘Anadān	`Anadan
83	Ghabāghib	Ghabaghib
84	Jarābulus	Jarabulus
85	Al Atārib	Al Atarib
86	Al Musayfirah	Al Musayfirah
87	Armanāz	Armanaz
88	Tayr Ma‘lah	Tayr Ma`lah
89	Taftanāz	Taftanaz
90	Umm Walad	Umm Walad
91	Al Kafr	Al Kafr
92	Al Mazra‘ah	Al Mazra`ah
93	Killī	Killi
94	Tall Tamr	Tall Tamr
95	Saḩam al Jawlān	Saham al Jawlan
96	‘Ayn ‘Īsá	`Ayn `Isa
97	Iḩsim	Ihsim
98	Ra’s al Khashūfah	Ra's al Khashufah
99	Al Quţaylibīyah	Al Qutaylibiyah
100	Al Mulayḩah al Gharbīyah	Al Mulayhah al Gharbiyah
101	‘Assāl al Ward	`Assal al Ward
102	Dayr al Bukht	Dayr al Bukht
103	Darkūsh	Darkush
104	Ḩisyā’	Hisya'
105	Shaykh al Ḩadīd	Shaykh al Hadid
