	city	city_ascii
0	Taichung	Taichung
1	Kaohsiung	Kaohsiung
2	Taipei	Taipei
3	Tainan	Tainan
4	Zhongli	Zhongli
5	Changhua	Changhua
6	Pingtung	Pingtung
7	Taoyuan District	Taoyuan District
8	Hsinchu	Hsinchu
9	Keelung	Keelung
10	Chiayi	Chiayi
11	Pingzhen	Pingzhen
12	Zhubei	Zhubei
13	Bade	Bade
14	Yangmei	Yangmei
15	Nantou	Nantou
16	Yilan	Yilan
17	Hualien	Hualien
18	Taitung	Taitung
19	Douliu	Douliu
20	Miaoli	Miaoli
21	Magong	Magong
22	Taibao	Taibao
23	Banqiao	Banqiao
24	Nangan	Nangan
25	Jincheng	Jincheng
26	Zhushan	Zhushan
27	Pozi	Pozi
28	Huatan	Huatan
29	Beigang	Beigang
30	Yuanchang	Yuanchang
31	Ershui	Ershui
