	city	city_ascii
0	Dar es Salaam	Dar es Salaam
1	Dodoma	Dodoma
2	Arusha	Arusha
3	Mwanza	Mwanza
4	Mbeya	Mbeya
5	Tanga	Tanga
6	Morogoro	Morogoro
7	Zanzibar	Zanzibar
8	Sumbawanga	Sumbawanga
9	Moshi	Moshi
10	Kigoma	Kigoma
11	Tabora	Tabora
12	Tukuyu	Tukuyu
13	Iringa	Iringa
14	Shinyanga	Shinyanga
15	Bukoba	Bukoba
16	Musoma	Musoma
17	Songea	Songea
18	Mtwara	Mtwara
19	Mpanda	Mpanda
20	Singida	Singida
21	Chake Chake	Chake Chake
22	Njombe	Njombe
23	Kahama	Kahama
24	Lindi	Lindi
25	Babati	Babati
26	Wete	Wete
27	Kibaha	Kibaha
28	Bububu	Bububu
29	Bariadi	Bariadi
30	Geita	Geita
31	Mahonda	Mahonda
32	Vwawa	Vwawa
33	Koani	Koani
34	Kilosa	Kilosa
35	Uvinza	Uvinza
36	Ifakara	Ifakara
37	Korogwe	Korogwe
38	Tunduma	Tunduma
39	Masasi	Masasi
40	Bagamoyo	Bagamoyo
41	Biharamulo	Biharamulo
42	Kasulu	Kasulu
43	Kibiti	Kibiti
44	Nzega	Nzega
45	Sikonge	Sikonge
46	Kakonko	Kakonko
47	Mpwapwa	Mpwapwa
48	Itigi	Itigi
49	Ngara	Ngara
50	Same	Same
51	Mikumi	Mikumi
52	Karema	Karema
53	Nyahanga	Nyahanga
54	Mbulu	Mbulu
55	Kilindoni	Kilindoni
56	Ngorongoro	Ngorongoro
57	Mbamba Bay	Mbamba Bay
58	Mkokotoni	Mkokotoni
59	Tunduru	Tunduru
60	Oldeani	Oldeani
61	Kipili	Kipili
62	Manyoni	Manyoni
63	Kanyato	Kanyato
