	city	city_ascii
0	Bangkok	Bangkok
1	Nonthaburi	Nonthaburi
2	Pak Kret	Pak Kret
3	Hat Yai	Hat Yai
4	Chiang Mai	Chiang Mai
5	Nakhon Ratchasima	Nakhon Ratchasima
6	Surat Thani	Surat Thani
7	Udon Thani	Udon Thani
8	Ban Bang Pu Mai	Ban Bang Pu Mai
9	Phatthaya	Phatthaya
10	Khon Kaen	Khon Kaen
11	Ban Mangkon	Ban Mangkon
12	Nakhon Si Thammarat	Nakhon Si Thammarat
13	Nakhon Sawan	Nakhon Sawan
14	Phuket	Phuket
15	Ban Talat Rangsit	Ban Talat Rangsit
16	Nakhon Pathom	Nakhon Pathom
17	Ubon Ratchathani	Ubon Ratchathani
18	Phitsanulok	Phitsanulok
19	Chiang Rai	Chiang Rai
20	Songkhla	Songkhla
21	Saraburi	Saraburi
22	Rayong	Rayong
23	Ban Bang Kaeo	Ban Bang Kaeo
24	Ban Rangsit	Ban Rangsit
25	Yala	Yala
26	Samut Sakhon	Samut Sakhon
27	Trang	Trang
28	Samut Prakan	Samut Prakan
29	Phra Nakhon Si Ayutthaya	Phra Nakhon Si Ayutthaya
30	Lampang	Lampang
31	Prachuap Khiri Khan	Prachuap Khiri Khan
32	Muban Saeng Bua Thong	Muban Saeng Bua Thong
33	Sakon Nakhon	Sakon Nakhon
34	Maha Sarakham	Maha Sarakham
35	Bang Bua Thong	Bang Bua Thong
36	Nong Khai	Nong Khai
37	Bang Kruai	Bang Kruai
38	Pattani	Pattani
39	Si Sa Ket	Si Sa Ket
40	Narathiwat	Narathiwat
41	Ban Sai Ma Tai	Ban Sai Ma Tai
42	Chachoengsao	Chachoengsao
43	Surin	Surin
44	Samrong	Samrong
45	Chaiyaphum	Chaiyaphum
46	Ratchaburi	Ratchaburi
47	Roi Et	Roi Et
48	Phatthalung	Phatthalung
49	Kalasin	Kalasin
50	Uttaradit	Uttaradit
51	Chumphon	Chumphon
52	Mukdahan	Mukdahan
53	Ban Bang Krang	Ban Bang Krang
54	Chon Buri	Chon Buri
55	Ban Bang Khu Wat	Ban Bang Khu Wat
56	Krabi	Krabi
57	Kamphaeng Phet	Kamphaeng Phet
58	Sai Mai	Sai Mai
59	Samut Songkhram	Samut Songkhram
60	Buri Ram	Buri Ram
61	Ban Bang Phun	Ban Bang Phun
62	Nakhon Phanom	Nakhon Phanom
63	Suphan Buri	Suphan Buri
64	Bang Sao Thong	Bang Sao Thong
65	Amnat Charoen	Amnat Charoen
66	Krathum Baen	Krathum Baen
67	Lop Buri	Lop Buri
68	Chanthaburi	Chanthaburi
69	Satun	Satun
70	Phetchaburi	Phetchaburi
71	Phichit	Phichit
72	Loei	Loei
73	Phetchabun	Phetchabun
74	Nong Bua Lamphu	Nong Bua Lamphu
75	Nan	Nan
76	Yasothon	Yasothon
77	Phra Pradaeng	Phra Pradaeng
78	Ban Rawai	Ban Rawai
79	Sing Buri	Sing Buri
80	Prachin Buri	Prachin Buri
81	Sa Kaeo	Sa Kaeo
82	Tak	Tak
83	Phayao	Phayao
84	Phrae	Phrae
85	Pathum Thani	Pathum Thani
86	Ranong	Ranong
87	Nakhon Nayok	Nakhon Nayok
88	Sukhothai	Sukhothai
89	Uthai Thani	Uthai Thani
90	Ang Thong	Ang Thong
91	Lamphun	Lamphun
92	Chai Nat	Chai Nat
93	Trat	Trat
94	Phangnga	Phangnga
