	city	city_ascii
0	Tunis	Tunis
1	Sfax	Sfax
2	Sousse	Sousse
3	Kairouan	Kairouan
4	Métouia	Metouia
5	Kebili	Kebili
6	Bizerte	Bizerte
7	Sidi Bouzid	Sidi Bouzid
8	Gabès	Gabes
9	Ariana	Ariana
10	Jendouba	Jendouba
11	Gafsa	Gafsa
12	Msaken	Msaken
13	Medenine	Medenine
14	Kasserine	Kasserine
15	Béja	Beja
16	Monastir	Monastir
17	La Marsa	La Marsa
18	Tataouine	Tataouine
19	Ben Arous	Ben Arous
20	Le Bardo	Le Bardo
21	Le Kram	Le Kram
22	Mahdia	Mahdia
23	Nabeul	Nabeul
24	El Kef	El Kef
25	Manouba	Manouba
26	Radès	Rades
27	Hammam-Lif	Hammam-Lif
28	Hammam Sousse	Hammam Sousse
29	Ez Zahra	Ez Zahra
30	Tozeur	Tozeur
31	Mégrine	Megrine
32	Zaouiet Sousse	Zaouiet Sousse
33	Siliana	Siliana
34	Zaghouan	Zaghouan
35	Seïada	Seiada
36	Khunays	Khunays
37	Sidi Bou Saïd	Sidi Bou Said
38	Hammamet	Hammamet
39	Sakiet ez Zit	Sakiet ez Zit
40	Zarzis	Zarzis
41	Ben Gardane	Ben Gardane
42	Fouchana	Fouchana
43	Houmt Souk	Houmt Souk
44	El Hamma	El Hamma
45	Djemmal	Djemmal
46	Korba	Korba
47	Menzel Temime	Menzel Temime
48	Ghardimaou	Ghardimaou
49	Menzel Bourguiba	Menzel Bourguiba
50	Kélibia	Kelibia
51	Rass el Djebel	Rass el Djebel
52	Tebourba	Tebourba
53	El Jem	El Jem
54	Douz	Douz
55	Sbiba	Sbiba
56	Sejenane	Sejenane
57	Dar Chabanne	Dar Chabanne
58	Aïne Draham	Aine Draham
59	Akouda	Akouda
60	Bou Salem	Bou Salem
61	Skhira	Skhira
62	Mateur	Mateur
63	Rhennouch	Rhennouch
64	Dahmani	Dahmani
65	El Alia	El Alia
66	Chebba	Chebba
67	Feriana	Feriana
68	El Maknassi	El Maknassi
69	Ouardenine	Ouardenine
70	Nefta	Nefta
71	Sbeitla	Sbeitla
72	Rhar el Melah	Rhar el Melah
73	Bekalta	Bekalta
74	Tabarka	Tabarka
75	Ghomrassen	Ghomrassen
76	Thala	Thala
77	Maktar	Maktar
78	Wadhraf	Wadhraf
79	Agareb	Agareb
80	Harqalah	Harqalah
81	El Metline	El Metline
82	Degache	Degache
83	Jemna	Jemna
84	Thelepte	Thelepte
85	Zarat	Zarat
86	Dehiba	Dehiba
