	city	city_ascii
0	Istanbul	Istanbul
1	Ankara	Ankara
2	İzmir	Izmir
3	Bursa	Bursa
4	Antalya	Antalya
5	Konya	Konya
6	Adana	Adana
7	Gaziantep	Gaziantep
8	Şanlıurfa	Sanliurfa
9	Mersin	Mersin
10	Diyarbakır	Diyarbakir
11	Kayseri	Kayseri
12	Samsun	Samsun
13	Tekirdağ	Tekirdag
14	Denizli	Denizli
15	Eskişehir	Eskisehir
16	Trabzon	Trabzon
17	Erzurum	Erzurum
18	Malatya	Malatya
19	Batman	Batman
20	Kahramanmaraş	Kahramanmaras
21	Elazığ	Elazig
22	Hatay	Hatay
23	Sivas	Sivas
24	Kocaeli	Kocaeli
25	Van	Van
26	Tarsus	Tarsus
27	Balıkesir	Balikesir
28	Alanya	Alanya
29	Adıyaman	Adiyaman
30	Afyonkarahisar	Afyonkarahisar
31	İskenderun	Iskenderun
32	Aksaray	Aksaray
33	Çorum	Corum
34	İnegöl	Inegol
35	Kütahya	Kutahya
36	Osmaniye	Osmaniye
37	Çorlu	Corlu
38	Sakarya	Sakarya
39	Isparta	Isparta
40	Kızıltepe	Kiziltepe
41	Uşak	Usak
42	Manisa	Manisa
43	Düzce	Duzce
44	Niğde	Nigde
45	Bolu	Bolu
46	Tokat	Tokat
47	Kırıkkale	Kirikkale
48	Viranşehir	Viransehir
49	Karaman	Karaman
50	Muş	Mus
51	Aydın	Aydin
52	Çanakkale	Canakkale
53	Edirne	Edirne
54	Torbalı	Torbali
55	Ereğli	Eregli
56	Menemen	Menemen
57	Siirt	Siirt
58	Körfez	Korfez
59	Turgutlu	Turgutlu
60	Gölcük	Golcuk
61	Salihli	Salihli
62	Bingöl	Bingol
63	Talas	Talas
64	Fethiye	Fethiye
65	Erzincan	Erzincan
66	Zonguldak	Zonguldak
67	Nazilli	Nazilli
68	Ordu	Ordu
69	Bartın	Bartin
70	Bandırma	Bandirma
71	Kırşehir	Kirsehir
72	Ağrı	Agri
73	Amasya	Amasya
74	Kastamonu	Kastamonu
75	Lüleburgaz	Luleburgaz
76	Ereğli	Eregli
77	Yalova	Yalova
78	Nevşehir	Nevsehir
79	Cizre	Cizre
80	Nizip	Nizip
81	Rize	Rize
82	Iğdır	Igdir
83	Giresun	Giresun
84	Ödemiş	Odemis
85	Karabük	Karabuk
86	Kozan	Kozan
87	Çayırova	Cayirova
88	Ünye	Unye
89	Polatlı	Polatli
90	Kadirli	Kadirli
91	Patnos	Patnos
92	Samandağ	Samandag
93	Doğubayazıt	Dogubayazit
94	Karatepe	Karatepe
95	Kapaklı	Kapakli
96	Kilis	Kilis
97	Kuşadası	Kusadasi
98	Akçakale	Akcakale
99	Burdur	Burdur
100	Kars	Kars
101	Soma	Soma
102	Kemalpaşa	Kemalpasa
103	Nusaybin	Nusaybin
104	Yozgat	Yozgat
105	Bergama	Bergama
106	Kırklareli	Kirklareli
107	Çankırı	Cankiri
108	Şırnak	Sirnak
109	Mardin	Mardin
110	Bilecik	Bilecik
111	Hakkari	Hakkari
112	Bitlis	Bitlis
113	Bayburt	Bayburt
114	Sinop	Sinop
115	Gümüşhane	Gumushane
116	Muğla	Mugla
117	Ardahan	Ardahan
118	Tunceli	Tunceli
119	Artvin	Artvin
120	Reyhanlı	Reyhanli
121	Bafra	Bafra
122	Aliağa	Aliaga
123	Marmaris	Marmaris
124	Menderes	Menderes
125	Ceylanpınar	Ceylanpinar
126	Tire	Tire
127	Söke	Soke
128	Çınar	Cinar
129	Tatvan	Tatvan
130	İslahiye	Islahiye
131	Urla	Urla
132	Bucak	Bucak
133	Çaldıran	Caldiran
134	Mut	Mut
135	Derik	Derik
136	Uzunköprü	Uzunkopru
137	Bor	Bor
138	Kaş	Kas
139	Hassa	Hassa
140	Kulu	Kulu
141	Kozlu	Kozlu
142	Beypazarı	Beypazari
143	Finike	Finike
144	Haymana	Haymana
145	Yatağan	Yatagan
146	Seferhisar	Seferhisar
147	Dikili	Dikili
148	Of	Of
149	Çeşme	Cesme
150	Kemer	Kemer
151	Yakacık	Yakacik
152	Erzin	Erzin
153	Bayındır	Bayindir
154	Emirdağ	Emirdag
155	Selçuk	Selcuk
156	Gürpınar	Gurpinar
157	Kilimli	Kilimli
158	Yayladağı	Yayladagi
159	Belen	Belen
160	Ayvacık	Ayvacik
161	Sarıkaya	Sarikaya
162	Kınık	Kinik
163	Nallıhan	Nallihan
164	Havran	Havran
165	İpsala	Ipsala
166	Pınarbaşı	Pinarbasi
167	Maçka	Macka
168	Lice	Lice
169	Marmara Ereğlisi	Marmara Ereglisi
170	Hasköy	Haskoy
171	Ayancık	Ayancik
172	Gökçebey	Gokcebey
173	Yenice	Yenice
174	Arhavi	Arhavi
175	Toprakkale	Toprakkale
176	Fındıklı	Findikli
177	Bayat	Bayat
178	Divriği	Divrigi
179	Sultandağı	Sultandagi
180	Çiçekdağı	Cicekdagi
181	Pazar	Pazar
182	Eynesil	Eynesil
183	Ulubey	Ulubey
184	Beydağ	Beydag
185	Erfelek	Erfelek
186	Ardanuç	Ardanuc
187	Çüngüş	Cungus
188	Aydıncık	Aydincik
189	Akyaka	Akyaka
190	Sultanhanı	Sultanhani
191	Karkamış	Karkamis
192	Eceabat	Eceabat
193	Ovacık	Ovacik
194	Yeniceoba	Yeniceoba
195	Çıralı	Cirali
