	city	city_ascii
0	Kampala	Kampala
1	Mbale	Mbale
2	Arua	Arua
3	Tororo	Tororo
4	Gulu	Gulu
5	Lira	Lira
6	Mbarara	Mbarara
7	Jinja	Jinja
8	Kasese	Kasese
9	Masaka	Masaka
10	Kitgum	Kitgum
11	Busia	Busia
12	Iganga	Iganga
13	Kabale	Kabale
14	Fort Portal	Fort Portal
15	Mityana	Mityana
16	Adjumani	Adjumani
17	Masindi	Masindi
18	Pallisa	Pallisa
19	Nebbi	Nebbi
20	Moyo	Moyo
21	Kayunga	Kayunga
22	Mubende	Mubende
23	Pakwach	Pakwach
24	Kamuli	Kamuli
25	Ntungamo	Ntungamo
26	Kiboga	Kiboga
27	Sironko	Sironko
28	Kisoro	Kisoro
29	Kumi	Kumi
30	Mpigi	Mpigi
31	Katakwi	Katakwi
32	Soroti	Soroti
33	Koboko	Koboko
34	Nakasongola	Nakasongola
35	Kalangala	Kalangala
36	Bugiri	Bugiri
37	Kaberamaido	Kaberamaido
38	Moroto	Moroto
39	Kaabong	Kaabong
40	Kapchorwa	Kapchorwa
41	Bundibugyo	Bundibugyo
42	Hoima	Hoima
43	Mukono	Mukono
44	Yumbe	Yumbe
45	Kasaali	Kasaali
46	Bududa	Bududa
47	Wakiso	Wakiso
48	Lyantonde	Lyantonde
49	Mayuge	Mayuge
50	Bulambuli	Bulambuli
51	Maracha	Maracha
52	Luwero	Luwero
53	Namayingo	Namayingo
54	Luuka Town	Luuka Town
55	Kibuku	Kibuku
56	Bupoto	Bupoto
57	Apac	Apac
58	Rubirizi	Rubirizi
59	Busesa	Busesa
60	Buikwe	Buikwe
61	Kagadi	Kagadi
62	Bushenyi	Bushenyi
63	Kaliro	Kaliro
64	Butebo	Butebo
65	Namutumba	Namutumba
66	Manafwa	Manafwa
67	Ibanda	Ibanda
68	Rukungiri	Rukungiri
69	Gombe	Gombe
70	Kyenjojo	Kyenjojo
71	Mitoma	Mitoma
72	Kalungu	Kalungu
73	Bukomansimbi	Bukomansimbi
74	Rubanda	Rubanda
75	Butaleja	Butaleja
76	Serere	Serere
77	Amuria	Amuria
78	Nsiika	Nsiika
79	Kibiito	Kibiito
80	Kibingo	Kibingo
81	Bukedea	Bukedea
82	Ntara	Ntara
83	Binyin	Binyin
84	Mparo	Mparo
85	Kinoni	Kinoni
86	Kole	Kole
87	Zombo	Zombo
88	Rakai	Rakai
89	Lwengo	Lwengo
90	Bukwo	Bukwo
91	Kasanda	Kasanda
92	Dokolo	Dokolo
93	Kamwenge	Kamwenge
94	Ngora	Ngora
95	Alebtong	Alebtong
96	Kanungu	Kanungu
97	Kanoni	Kanoni
98	Oyam	Oyam
99	Sembabule	Sembabule
100	Kakumiro	Kakumiro
101	Buyende	Buyende
102	Kalaki	Kalaki
103	Isingiro	Isingiro
104	Kyegegwa	Kyegegwa
105	Butalangu	Butalangu
106	Amolatar	Amolatar
107	Lamwo	Lamwo
108	Palenga	Palenga
109	Kotido	Kotido
110	Pader	Pader
111	Agago	Agago
112	Bulisa	Bulisa
113	Amudat	Amudat
114	Nabilatuk	Nabilatuk
115	Napak	Napak
116	Kiryandongo	Kiryandongo
117	Kiruhura	Kiruhura
118	Abim	Abim
119	Ntoroko	Ntoroko
120	Otuke	Otuke
121	Amuru	Amuru
122	Nakapiripirit	Nakapiripirit
123	Kyankwanzi	Kyankwanzi
124	Nwoya	Nwoya
125	Kitamilo	Kitamilo
126	Bombo	Bombo
127	Entebbe	Entebbe
128	Kibale	Kibale
129	Katwe	Katwe
130	Masindi Port	Masindi Port
