	city	city_ascii
0	Kyiv	Kyiv
1	Kharkiv	Kharkiv
2	Odesa	Odesa
3	Dnipro	Dnipro
4	Donetsk	Donetsk
5	Zaporizhzhia	Zaporizhzhia
6	Lviv	Lviv
7	Kryvyi Rih	Kryvyi Rih
8	Mykolaiv	Mykolaiv
9	Mariupol	Mariupol
10	Sevastopol	Sevastopol
11	Luhansk	Luhansk
12	Vinnytsia	Vinnytsia
13	Makiivka	Makiivka
14	Simferopol	Simferopol
15	Poltava	Poltava
16	Chernihiv	Chernihiv
17	Kherson	Kherson
18	Cherkasy	Cherkasy
19	Khmelnytskyi	Khmelnytskyi
20	Zhytomyr	Zhytomyr
21	Chernivtsi	Chernivtsi
22	Sumy	Sumy
23	Horlivka	Horlivka
24	Rivne	Rivne
25	Ivano-Frankivsk	Ivano-Frankivsk
26	Kamianske	Kamianske
27	Kremenchuk	Kremenchuk
28	Kropyvnytskyi	Kropyvnytskyi
29	Ternopil	Ternopil
30	Lutsk	Lutsk
31	Bila Tserkva	Bila Tserkva
32	Kramatorsk	Kramatorsk
33	Melitopol	Melitopol
34	Sievierodonetsk	Sievierodonetsk
35	Drohobych	Drohobych
36	Khrustalnyi	Khrustalnyi
37	Uzhhorod	Uzhhorod
38	Berdiansk	Berdiansk
39	Sloviansk	Sloviansk
40	Nikopol	Nikopol
41	Pavlohrad	Pavlohrad
42	Yevpatoriia	Yevpatoriia
43	Alchevsk	Alchevsk
44	Brovary	Brovary
45	Konotop	Konotop
46	Kamianets-Podilskyi	Kamianets-Podilskyi
47	Mukacheve	Mukacheve
48	Uman	Uman
49	Khartsyzk	Khartsyzk
50	Stryi	Stryi
51	Chornomorsk	Chornomorsk
52	Novohrad-Volynskyi	Novohrad-Volynskyi
53	Myrnohrad	Myrnohrad
54	Rovenky	Rovenky
55	Myrhorod	Myrhorod
56	Bucha	Bucha
57	Chuhuiv	Chuhuiv
58	Sukhodilsk	Sukhodilsk
59	Kotsyubyns’ke	Kotsyubyns'ke
60	Hostomel	Hostomel
61	Vynnyky	Vynnyky
62	Hirnyk	Hirnyk
63	Karnaukhivka	Karnaukhivka
64	Lysychansk	Lysychansk
65	Dovzhansk	Dovzhansk
66	Yalta	Yalta
67	Yenakiieve	Yenakiieve
68	Bakhmut	Bakhmut
69	Shostka	Shostka
70	Stakhanov	Stakhanov
71	Berdychiv	Berdychiv
72	Nizhyn	Nizhyn
73	Kostiantynivka	Kostiantynivka
74	Izmail	Izmail
75	Novomoskovsk	Novomoskovsk
76	Kovel	Kovel
77	Smila	Smila
78	Nova Kakhovka	Nova Kakhovka
79	Kalush	Kalush
80	Korosten	Korosten
81	Pokrovsk	Pokrovsk
82	Kolomyia	Kolomyia
83	Boryspil	Boryspil
84	Rubizhne	Rubizhne
85	Druzhkivka	Druzhkivka
86	Bilhorod-Dnistrovskyi	Bilhorod-Dnistrovskyi
87	Irpin	Irpin
88	Antratsyt	Antratsyt
89	Lozova	Lozova
90	Enerhodar	Enerhodar
91	Pryluky	Pryluky
