	city	city_ascii
0	New York	New York
1	Los Angeles	Los Angeles
2	Chicago	Chicago
3	Miami	Miami
4	Dallas	Dallas
5	Philadelphia	Philadelphia
6	Houston	Houston
7	Atlanta	Atlanta
8	Washington	Washington
9	Boston	Boston
10	Phoenix	Phoenix
11	Seattle	Seattle
12	San Francisco	San Francisco
13	Detroit	Detroit
14	San Diego	San Diego
15	Minneapolis	Minneapolis
16	Tampa	Tampa
17	Denver	Denver
18	Brooklyn	Brooklyn
19	Queens	Queens
20	Riverside	Riverside
21	Baltimore	Baltimore
22	Las Vegas	Las Vegas
23	Portland	Portland
24	San Antonio	San Antonio
25	St. Louis	St. Louis
26	Sacramento	Sacramento
27	Orlando	Orlando
28	San Jose	San Jose
29	Cleveland	Cleveland
30	Pittsburgh	Pittsburgh
31	Austin	Austin
32	Cincinnati	Cincinnati
33	Kansas City	Kansas City
34	Manhattan	Manhattan
35	Indianapolis	Indianapolis
36	Columbus	Columbus
37	Charlotte	Charlotte
38	Virginia Beach	Virginia Beach
39	Bronx	Bronx
40	Milwaukee	Milwaukee
41	Providence	Providence
42	Jacksonville	Jacksonville
43	Salt Lake City	Salt Lake City
44	Nashville	Nashville
45	Richmond	Richmond
46	Memphis	Memphis
47	Raleigh	Raleigh
48	New Orleans	New Orleans
49	Louisville	Louisville
50	Oklahoma City	Oklahoma City
51	Bridgeport	Bridgeport
52	Buffalo	Buffalo
53	Fort Worth	Fort Worth
54	Hartford	Hartford
55	Tucson	Tucson
56	Omaha	Omaha
57	El Paso	El Paso
58	Honolulu	Honolulu
59	McAllen	McAllen
60	Hempstead	Hempstead
61	Albuquerque	Albuquerque
62	Birmingham	Birmingham
63	Sarasota	Sarasota
64	Dayton	Dayton
65	Rochester	Rochester
66	Fresno	Fresno
67	Allentown	Allentown
68	Tulsa	Tulsa
69	Cape Coral	Cape Coral
70	Concord	Concord
71	Colorado Springs	Colorado Springs
72	Charleston	Charleston
73	Springfield	Springfield
74	Grand Rapids	Grand Rapids
75	Mission Viejo	Mission Viejo
76	Albany	Albany
77	Knoxville	Knoxville
78	Bakersfield	Bakersfield
79	Ogden	Ogden
80	Baton Rouge	Baton Rouge
81	Akron	Akron
82	New Haven	New Haven
83	Columbia	Columbia
84	Mesa	Mesa
85	Palm Bay	Palm Bay
86	Provo	Provo
87	Worcester	Worcester
88	Murrieta	Murrieta
89	Greenville	Greenville
90	Brookhaven	Brookhaven
91	Wichita	Wichita
92	Toledo	Toledo
93	Staten Island	Staten Island
94	Des Moines	Des Moines
95	Long Beach	Long Beach
96	Port St. Lucie	Port St. Lucie
97	Denton	Denton
98	Madison	Madison
99	Reno	Reno
100	Harrisburg	Harrisburg
101	Little Rock	Little Rock
102	Oakland	Oakland
103	Durham	Durham
104	Winston-Salem	Winston-Salem
105	Bonita Springs	Bonita Springs
106	Indio	Indio
107	Palm Coast	Palm Coast
108	Chattanooga	Chattanooga
109	Spokane	Spokane
110	Syracuse	Syracuse
111	Lancaster	Lancaster
112	Arlington	Arlington
113	Stockton	Stockton
114	Poughkeepsie	Poughkeepsie
115	Augusta	Augusta
116	Boise	Boise
117	Oxnard	Oxnard
118	Scranton	Scranton
119	Modesto	Modesto
120	Kissimmee	Kissimmee
121	Aurora	Aurora
122	Youngstown	Youngstown
123	Fayetteville	Fayetteville
124	Anaheim	Anaheim
125	Pensacola	Pensacola
126	Victorville	Victorville
127	Lancaster	Lancaster
128	Greensboro	Greensboro
129	Corpus Christi	Corpus Christi
130	Fort Wayne	Fort Wayne
131	Santa Ana	Santa Ana
132	Flint	Flint
133	Islip	Islip
134	Fayetteville	Fayetteville
135	Jackson	Jackson
136	Santa Rosa	Santa Rosa
137	Lansing	Lansing
138	Lexington	Lexington
139	Ann Arbor	Ann Arbor
140	Henderson	Henderson
141	Huntsville	Huntsville
142	Mobile	Mobile
143	Fort Collins	Fort Collins
144	Asheville	Asheville
145	Santa Clarita	Santa Clarita
146	St. Paul	St. Paul
147	Antioch	Antioch
148	Lakeland	Lakeland
149	Oyster Bay	Oyster Bay
150	Trenton	Trenton
151	Lincoln	Lincoln
152	Springfield	Springfield
153	Anchorage	Anchorage
154	Plano	Plano
155	Irvine	Irvine
156	Davenport	Davenport
157	Rockford	Rockford
158	Newark	Newark
159	South Bend	South Bend
160	Shreveport	Shreveport
161	Round Lake Beach	Round Lake Beach
162	Savannah	Savannah
163	Myrtle Beach	Myrtle Beach
164	Chula Vista	Chula Vista
165	Eugene	Eugene
166	Canton	Canton
167	Lubbock	Lubbock
168	Reading	Reading
169	Winter Haven	Winter Haven
170	Salem	Salem
171	St. Petersburg	St. Petersburg
172	Lafayette	Lafayette
173	Laredo	Laredo
174	Jersey City	Jersey City
175	Concord	Concord
176	Columbus	Columbus
177	Chandler	Chandler
178	McKinney	McKinney
179	Scottsdale	Scottsdale
180	Killeen	Killeen
181	Tallahassee	Tallahassee
182	Peoria	Peoria
183	Wilmington	Wilmington
184	Montgomery	Montgomery
185	Gilbert	Gilbert
186	Glendale	Glendale
187	North Las Vegas	North Las Vegas
188	Chesapeake	Chesapeake
189	Barnstable	Barnstable
190	Norfolk	Norfolk
191	Fremont	Fremont
192	Kennewick	Kennewick
193	Garland	Garland
194	Irving	Irving
195	Visalia	Visalia
196	Atlantic City	Atlantic City
197	Paradise	Paradise
198	Nashua	Nashua
199	Arlington	Arlington
200	Hialeah	Hialeah
201	York	York
202	North Hempstead	North Hempstead
203	Evansville	Evansville
204	Avondale	Avondale
205	Brownsville	Brownsville
206	Gulfport	Gulfport
207	Appleton	Appleton
208	Bremerton	Bremerton
209	Hickory	Hickory
210	Tacoma	Tacoma
211	San Bernardino	San Bernardino
212	College Station	College Station
213	Kalamazoo	Kalamazoo
214	Thousand Oaks	Thousand Oaks
215	Roanoke	Roanoke
216	Fontana	Fontana
217	Moreno Valley	Moreno Valley
218	Babylon	Babylon
219	North Port	North Port
220	Fargo	Fargo
221	Green Bay	Green Bay
222	Spring Valley	Spring Valley
223	Amarillo	Amarillo
224	Portland	Portland
225	Santa Barbara	Santa Barbara
226	Gainesville	Gainesville
227	Huntington	Huntington
228	Olympia	Olympia
229	Frisco	Frisco
230	Yonkers	Yonkers
231	Norwich	Norwich
232	Glendale	Glendale
233	Huntington Beach	Huntington Beach
234	Deltona	Deltona
235	Aurora	Aurora
236	Tempe	Tempe
237	Overland Park	Overland Park
238	Grand Prairie	Grand Prairie
239	Sunrise Manor	Sunrise Manor
240	Waco	Waco
241	Salinas	Salinas
242	Waterbury	Waterbury
243	Clarksville	Clarksville
244	Cedar Rapids	Cedar Rapids
245	Sioux Falls	Sioux Falls
246	Huntington	Huntington
247	Ontario	Ontario
248	Hagerstown	Hagerstown
249	Erie	Erie
250	Vancouver	Vancouver
251	Nampa	Nampa
252	Spartanburg	Spartanburg
253	Gastonia	Gastonia
254	Fort Lauderdale	Fort Lauderdale
255	Lorain	Lorain
256	Murfreesboro	Murfreesboro
257	High Point	High Point
258	Newport News	Newport News
259	Rancho Cucamonga	Rancho Cucamonga
260	Hemet	Hemet
261	Santa Cruz	Santa Cruz
262	Danbury	Danbury
263	Peoria	Peoria
264	Oceanside	Oceanside
265	Elk Grove	Elk Grove
266	Pembroke Pines	Pembroke Pines
267	Vallejo	Vallejo
268	Garden Grove	Garden Grove
269	Enterprise	Enterprise
270	Medford	Medford
271	Cary	Cary
272	Marysville	Marysville
273	Corona	Corona
274	Ocala	Ocala
275	Fredericksburg	Fredericksburg
276	Gainesville	Gainesville
277	Manchester	Manchester
278	Champaign	Champaign
279	Alexandria	Alexandria
280	Hayward	Hayward
281	Springfield	Springfield
282	Lakewood	Lakewood
283	Lafayette	Lafayette
284	Frederick	Frederick
285	Lake Charles	Lake Charles
286	Odessa	Odessa
287	Tuscaloosa	Tuscaloosa
288	Warner Robins	Warner Robins
289	Palmdale	Palmdale
290	Hollywood	Hollywood
291	Midland	Midland
292	Leesburg	Leesburg
293	Port Arthur	Port Arthur
294	Muskegon	Muskegon
295	Macon	Macon
296	Kansas City	Kansas City
297	Sunnyvale	Sunnyvale
298	Pomona	Pomona
299	Escondido	Escondido
300	Pasadena	Pasadena
301	New Bedford	New Bedford
302	Fairfield	Fairfield
303	Naperville	Naperville
304	Bellevue	Bellevue
305	Binghamton	Binghamton
306	Elkhart	Elkhart
307	Topeka	Topeka
308	Joliet	Joliet
309	Beaumont	Beaumont
310	Paterson	Paterson
311	Merced	Merced
312	Pueblo	Pueblo
313	Tyler	Tyler
314	Torrance	Torrance
315	Yuma	Yuma
316	Metairie	Metairie
317	Surprise	Surprise
318	Columbia	Columbia
319	Athens	Athens
320	Roseville	Roseville
321	Thornton	Thornton
322	Miramar	Miramar
323	Pasadena	Pasadena
324	Mesquite	Mesquite
325	Olathe	Olathe
326	Santa Maria	Santa Maria
327	Houma	Houma
328	Carrollton	Carrollton
329	Grand Junction	Grand Junction
330	Charleston	Charleston
331	Orange	Orange
332	Fullerton	Fullerton
333	Greeley	Greeley
334	Las Cruces	Las Cruces
335	Panama City	Panama City
336	Harlingen	Harlingen
337	Ramapo	Ramapo
338	West Valley City	West Valley City
339	Hampton	Hampton
340	Warren	Warren
341	Mauldin	Mauldin
342	Bloomington	Bloomington
343	Coral Springs	Coral Springs
344	Round Rock	Round Rock
345	Yakima	Yakima
346	Sterling Heights	Sterling Heights
347	Kent	Kent
348	Burlington	Burlington
349	Bellingham	Bellingham
350	Santa Clara	Santa Clara
351	Racine	Racine
352	Greenville	Greenville
353	Stamford	Stamford
354	Elizabeth	Elizabeth
355	Johnson City	Johnson City
356	Lynchburg	Lynchburg
357	Simi Valley	Simi Valley
358	Amherst	Amherst
359	Fort Smith	Fort Smith
360	Kenosha	Kenosha
361	Norman	Norman
362	South Lyon	South Lyon
363	Boulder	Boulder
364	Abilene	Abilene
365	Lehigh Acres	Lehigh Acres
366	Pearland	Pearland
367	Berkeley	Berkeley
368	Richardson	Richardson
369	Redding	Redding
370	Arvada	Arvada
371	East Los Angeles	East Los Angeles
372	St. George	St. George
373	Billings	Billings
374	Yuba City	Yuba City
375	Rochester	Rochester
376	Leominster	Leominster
377	Kingsport	Kingsport
378	Duluth	Duluth
379	Rock Hill	Rock Hill
380	Gilroy	Gilroy
381	Cambridge	Cambridge
382	Sugar Land	Sugar Land
383	Texas City	Texas City
384	Iowa City	Iowa City
385	Saginaw	Saginaw
386	Chico	Chico
387	Dover	Dover
388	Clearwater	Clearwater
389	Coeur d'Alene	Coeur d'Alene
390	Seaside	Seaside
391	Independence	Independence
392	Smithtown	Smithtown
393	West Jordan	West Jordan
394	Brandon	Brandon
395	Bloomington	Bloomington
396	El Monte	El Monte
397	North Charleston	North Charleston
398	Carlsbad	Carlsbad
399	St. Cloud	St. Cloud
400	Temecula	Temecula
401	Clovis	Clovis
402	Meridian	Meridian
403	The Woodlands	The Woodlands
404	Westminster	Westminster
405	Costa Mesa	Costa Mesa
406	Monroe	Monroe
407	Utica	Utica
408	Pompano Beach	Pompano Beach
409	West Palm Beach	West Palm Beach
410	Waterloo	Waterloo
411	Everett	Everett
412	El Centro	El Centro
413	Santa Fe	Santa Fe
414	Downey	Downey
415	Spring Hill	Spring Hill
416	Lowell	Lowell
417	Centennial	Centennial
418	Elgin	Elgin
419	Richmond	Richmond
420	Broken Arrow	Broken Arrow
421	Miami Gardens	Miami Gardens
422	Bend	Bend
423	Burlington	Burlington
424	Jurupa Valley	Jurupa Valley
425	Sandy Springs	Sandy Springs
426	Gresham	Gresham
427	Lewisville	Lewisville
428	Hillsboro	Hillsboro
429	San Buenaventura	San Buenaventura
430	Jacksonville	Jacksonville
431	Pottstown	Pottstown
432	Inglewood	Inglewood
433	League City	League City
434	Eau Claire	Eau Claire
435	Turlock	Turlock
436	Temple	Temple
437	Sioux City	Sioux City
438	Salisbury	Salisbury
439	Davie	Davie
440	Daly City	Daly City
441	Highlands Ranch	Highlands Ranch
442	Allen	Allen
443	West Covina	West Covina
444	Sparks	Sparks
445	Wichita Falls	Wichita Falls
446	San Mateo	San Mateo
447	Columbia	Columbia
448	Norwalk	Norwalk
449	Rialto	Rialto
450	Manteca	Manteca
451	Arden-Arcade	Arden-Arcade
452	El Cajon	El Cajon
453	Burbank	Burbank
454	Longmont	Longmont
455	Lakewood	Lakewood
456	Renton	Renton
457	Vista	Vista
458	Logan	Logan
459	Prescott Valley	Prescott Valley
460	Vacaville	Vacaville
461	Edinburg	Edinburg
462	Carmel	Carmel
463	Spokane Valley	Spokane Valley
464	San Angelo	San Angelo
465	La Crosse	La Crosse
466	Edison	Edison
467	Idaho Falls	Idaho Falls
468	Holland	Holland
469	Charlottesville	Charlottesville
470	Longview	Longview
471	Woodbridge	Woodbridge
472	Tracy	Tracy
473	Bismarck	Bismarck
474	Orem	Orem
475	Compton	Compton
476	Sunrise	Sunrise
477	Quincy	Quincy
478	Lynn	Lynn
479	South Gate	South Gate
480	Kirkland	Kirkland
481	Westminster	Westminster
482	Germantown	Germantown
483	Santa Monica	Santa Monica
484	Miami Beach	Miami Beach
485	San Leandro	San Leandro
486	Citrus Heights	Citrus Heights
487	State College	State College
488	Hawthorne	Hawthorne
489	Whittier	Whittier
490	Clifton	Clifton
491	Milpitas	Milpitas
492	Alhambra	Alhambra
493	Upper Darby	Upper Darby
494	Mountain View	Mountain View
495	Buena Park	Buena Park
496	Silver Spring	Silver Spring
497	Somerville	Somerville
498	Deerfield Beach	Deerfield Beach
499	Cicero	Cicero
500	Lawrence	Lawrence
501	Cheyenne	Cheyenne
502	Tustin	Tustin
503	Lakewood	Lakewood
504	Pine Hills	Pine Hills
505	New Rochelle	New Rochelle
506	Lebanon	Lebanon
507	Alameda	Alameda
508	Watsonville	Watsonville
509	Davis	Davis
510	Bellflower	Bellflower
511	Baldwin Park	Baldwin Park
512	Centreville	Centreville
513	Camden	Camden
514	Evanston	Evanston
515	New Britain	New Britain
516	Pawtucket	Pawtucket
517	Lauderhill	Lauderhill
518	Wilmington	Wilmington
519	Lynwood	Lynwood
520	Passaic	Passaic
521	Gaithersburg	Gaithersburg
522	Union City	Union City
523	South San Francisco	South San Francisco
524	Mount Vernon	Mount Vernon
525	Redondo Beach	Redondo Beach
526	Tamarac	Tamarac
527	Florence-Graham	Florence-Graham
528	Schenectady	Schenectady
529	Bayonne	Bayonne
530	East Orange	East Orange
531	Brentwood	Brentwood
532	North Miami	North Miami
533	Skokie	Skokie
534	Pico Rivera	Pico Rivera
535	Montebello	Montebello
536	North Bergen	North Bergen
537	The Hammocks	The Hammocks
538	National City	National City
539	Coconut Creek	Coconut Creek
540	Fountainebleau	Fountainebleau
541	La Habra	La Habra
542	Malden	Malden
543	South Whittier	South Whittier
544	West Allis	West Allis
545	Taylorsville	Taylorsville
546	Monterey Park	Monterey Park
547	Gardena	Gardena
548	Cupertino	Cupertino
549	La Mesa	La Mesa
550	Brookline	Brookline
551	Margate	Margate
552	Carson City	Carson City
553	Middletown	Middletown
554	Union	Union
555	White Plains	White Plains
556	Jefferson City	Jefferson City
557	Arcadia	Arcadia
558	Huntington Park	Huntington Park
559	Medford	Medford
560	Tamiami	Tamiami
561	Kendale Lakes	Kendale Lakes
562	New Brunswick	New Brunswick
563	Fountain Valley	Fountain Valley
564	Ithaca	Ithaca
565	Oak Lawn	Oak Lawn
566	Berwyn	Berwyn
567	Aloha	Aloha
568	Irvington	Irvington
569	Rosemead	Rosemead
570	Paramount	Paramount
571	Revere	Revere
572	Aspen Hill	Aspen Hill
573	Helena	Helena
574	West New York	West New York
575	Hoboken	Hoboken
576	Oak Park	Oak Park
577	Levittown	Levittown
578	Perth Amboy	Perth Amboy
579	Placentia	Placentia
580	Aliso Viejo	Aliso Viejo
