	city	city_ascii
0	Montevideo	Montevideo
1	Salto	Salto
2	Ciudad de la Costa	Ciudad de la Costa
3	Rivera	Rivera
4	Paysandú	Paysandu
5	Las Piedras	Las Piedras
6	Maldonado	Maldonado
7	Melo	Melo
8	Tacuarembó	Tacuarembo
9	Mercedes	Mercedes
10	Artigas	Artigas
11	Minas	Minas
12	San José	San Jose
13	Florida	Florida
14	Durazno	Durazno
15	Barros Blancos	Barros Blancos
16	Pando	Pando
17	Treinta y Tres	Treinta y Tres
18	Rocha	Rocha
19	Colonia del Sacramento	Colonia del Sacramento
20	Fray Bentos	Fray Bentos
21	Bella Unión	Bella Union
22	Carmelo	Carmelo
23	Santa Lucía	Santa Lucia
24	Dolores	Dolores
25	Canelones	Canelones
26	Libertad	Libertad
27	Nueva Palmira	Nueva Palmira
28	Rosario	Rosario
29	Lascano	Lascano
30	Castillos	Castillos
31	Sauce	Sauce
32	Tala	Tala
33	Trinidad	Trinidad
34	Río Branco	Rio Branco
35	Paso de los Toros	Paso de los Toros
36	Nueva Helvecia	Nueva Helvecia
37	Salinas	Salinas
38	Punta del Este	Punta del Este
39	Piriápolis	Piriapolis
40	Parque del Plata	Parque del Plata
41	San Ramón	San Ramon
42	San Jacinto	San Jacinto
43	Sarandí del Yi	Sarandi del Yi
44	Sarandí Grande	Sarandi Grande
45	Atlántida	Atlantida
46	José Pedro Varela	Jose Pedro Varela
47	Pan de Azúcar	Pan de Azucar
48	Guichón	Guichon
49	La Paloma	La Paloma
50	Baltasar Brum	Baltasar Brum
51	Aiguá	Aigua
52	Tranqueras	Tranqueras
53	Vergara	Vergara
54	José Batlle y Ordóñez	Jose Batlle y Ordonez
