	city	city_ascii
0	Tashkent	Tashkent
1	Samarkand	Samarkand
2	Andijon	Andijon
3	Namangan	Namangan
4	Qoqon	Qoqon
5	Farg‘ona	Farg`ona
6	Bukhara	Bukhara
7	Qarshi	Qarshi
8	Denov	Denov
9	Marg‘ilon	Marg`ilon
10	Iskandar	Iskandar
11	Nukus	Nukus
12	Jizzax	Jizzax
13	Chirchiq	Chirchiq
14	Termiz	Termiz
15	Urganch	Urganch
16	Navoiy	Navoiy
17	Angren	Angren
18	Olmaliq	Olmaliq
19	Kogon Shahri	Kogon Shahri
20	Shahrisabz	Shahrisabz
21	Guliston	Guliston
22	Urgut Shahri	Urgut Shahri
23	Kattagan	Kattagan
24	Bekobod	Bekobod
25	Qo‘ng‘irot Shahri	Qo`ng`irot Shahri
26	Xo‘jayli Shahri	Xo`jayli Shahri
27	Kattaqo’rg’on Shahri	Kattaqo'rg'on Shahri
28	Qŭnghirot	Qunghirot
29	Xiva	Xiva
30	Zarafshon Shahri	Zarafshon Shahri
31	Tŭrtkŭl	Turtkul
32	Beruniy	Beruniy
33	Chimboy Shahri	Chimboy Shahri
34	Chortoq	Chortoq
35	Xonobod	Xonobod
36	Payshamba Shahri	Payshamba Shahri
37	Kosonsoy	Kosonsoy
38	G’ijduvon Shahri	G'ijduvon Shahri
39	Yangiyer	Yangiyer
40	Bo‘ka	Bo`ka
41	Rishton	Rishton
42	Uchquduq Shahri	Uchquduq Shahri
43	Manghit	Manghit
44	Nurota	Nurota
45	Qorasuv	Qorasuv
46	Mŭynoq	Muynoq
47	G‘uzor	G`uzor
48	Yaypan	Yaypan
49	Juma Shahri	Juma Shahri
50	Chiroqchi	Chiroqchi
51	Vobkent Shahri	Vobkent Shahri
52	Yangirabot	Yangirabot
53	Tinchlik	Tinchlik
54	Sharg‘un	Sharg`un
55	Shumanay	Shumanay
56	Qiziltepa	Qiziltepa
57	Bo‘ston	Bo`ston
