	city	city_ascii
0	Caracas	Caracas
1	Maracaibo	Maracaibo
2	Valencia	Valencia
3	Barquisimeto	Barquisimeto
4	Ciudad Guayana	Ciudad Guayana
5	Catia La Mar	Catia La Mar
6	Ciudad Bolívar	Ciudad Bolivar
7	Maturín	Maturin
8	Santa Teresa del Tuy	Santa Teresa del Tuy
9	Barcelona	Barcelona
10	San Cristóbal	San Cristobal
11	Maracay	Maracay
12	Cumaná	Cumana
13	Cabimas	Cabimas
14	Puerto La Cruz	Puerto La Cruz
15	Mérida	Merida
16	Punto Fijo	Punto Fijo
17	Barinas	Barinas
18	Coro	Coro
19	La Guaira	La Guaira
20	Turmero	Turmero
21	Los Teques	Los Teques
22	Baruta	Baruta
23	Cúa	Cua
24	La Victoria	La Victoria
25	El Tigre	El Tigre
26	Guarenas	Guarenas
27	Puerto Cabello	Puerto Cabello
28	Guacara	Guacara
29	Tocuyito	Tocuyito
30	Acarigua	Acarigua
31	Guanare	Guanare
32	Valera	Valera
33	Guatire	Guatire
34	San Diego	San Diego
35	Carúpano	Carupano
36	Santa Rita	Santa Rita
37	Anaco	Anaco
38	Palo Negro	Palo Negro
39	Ocumare del Tuy	Ocumare del Tuy
40	Villa de Cura	Villa de Cura
41	Yaritagua	Yaritagua
42	Calabozo	Calabozo
43	Táriba	Tariba
44	Guasdualito	Guasdualito
45	Cagua	Cagua
46	Porlamar	Porlamar
47	Machiques	Machiques
48	San Fernando	San Fernando
49	Ciudad Ojeda	Ciudad Ojeda
50	San Carlos	San Carlos
51	Charallave	Charallave
52	Valle de La Pascua	Valle de La Pascua
53	Santa Lucía	Santa Lucia
54	Carora	Carora
55	Quíbor	Quibor
56	Socopó	Socopo
57	El Limón	El Limon
58	San Juan de los Morros	San Juan de los Morros
59	Tucupita	Tucupita
60	Puerto Ayacucho	Puerto Ayacucho
61	San Felipe	San Felipe
62	Trujillo	Trujillo
63	Lecherías	Lecherias
64	La Asunción	La Asuncion
65	Rubio	Rubio
66	Cantaura	Cantaura
67	La Grita	La Grita
68	Maiquetía	Maiquetia
69	San Carlos del Zulia	San Carlos del Zulia
70	Cabudare	Cabudare
71	Caripito	Caripito
72	Zaraza	Zaraza
73	San Antonio del Táchira	San Antonio del Tachira
74	Upata	Upata
75	Sanare	Sanare
76	Santa Cruz de Los Taques	Santa Cruz de Los Taques
77	El Tocuyo	El Tocuyo
78	Altagracia de Orituco	Altagracia de Orituco
79	Santa Rita	Santa Rita
80	Sabaneta	Sabaneta
81	Puerto Píritu	Puerto Piritu
82	La Colonia Tovar	La Colonia Tovar
83	Chaguarama	Chaguarama
84	Tucacas	Tucacas
85	Onoto	Onoto
86	San José de Aerocuar	San Jose de Aerocuar
87	Uracoa	Uracoa
88	Bruzual	Bruzual
89	Mucuchíes	Mucuchies
90	Mapire	Mapire
91	El Dorado	El Dorado
92	La Esmeralda	La Esmeralda
93	El Manteco	El Manteco
