	city	city_ascii
0	Ho Chi Minh City	Ho Chi Minh City
1	Hanoi	Hanoi
2	Haiphong	Haiphong
3	Cần Thơ	Can Tho
4	Biên Hòa	Bien Hoa
5	Thủ Đức	Thu Duc
6	Quảng Hà	Quang Ha
7	Bắc Ninh	Bac Ninh
8	Hải Dương	Hai Duong
9	Vinh	Vinh
10	Huế	Hue
11	Thanh Hóa	Thanh Hoa
12	Nha Trang	Nha Trang
13	Nam Định	Nam Dinh
14	Buôn Ma Thuột	Buon Ma Thuot
15	Thái Nguyên	Thai Nguyen
16	Vũng Tàu	Vung Tau
17	Cà Mau	Ca Mau
18	Quy Nhơn	Quy Nhon
19	Sóc Trăng	Soc Trang
20	Long Xuyên	Long Xuyen
21	Việt Trì	Viet Tri
22	Thái Bình	Thai Binh
23	Quảng Ngãi	Quang Ngai
24	Ấp Đa Lợi	Ap Da Loi
25	Rạch Giá	Rach Gia
26	Thủ Dầu Một	Thu Dau Mot
27	Tuy Hòa	Tuy Hoa
28	Bạc Liêu	Bac Lieu
29	Sa Đéc	Sa Dec
30	Phan Thiết	Phan Thiet
31	Sơn Tây	Son Tay
32	Phan Rang-Tháp Chàm	Phan Rang-Thap Cham
33	Hạ Long	Ha Long
34	Hà Tĩnh	Ha Tinh
35	Đồng Hới	Dong Hoi
36	Châu Đốc	Chau Doc
37	Cẩm Phả	Cam Pha
38	Cao Lãnh	Cao Lanh
39	Lạng Sơn	Lang Son
40	Cam Ranh	Cam Ranh
41	Pleiku	Pleiku
42	Tân An	Tan An
43	Trà Vinh	Tra Vinh
44	Ninh Bình	Ninh Binh
45	Mỹ Tho	My Tho
46	Tây Ninh	Tay Ninh
47	Cam Ranh	Cam Ranh
48	Hội An	Hoi An
49	Hòa Bình	Hoa Binh
50	Vĩnh Long	Vinh Long
51	Mang La	Mang La
52	Yên Bái	Yen Bai
53	Vị Thanh	Vi Thanh
54	Quảng Trị	Quang Tri
55	Lào Cai	Lao Cai
56	Bến Tre	Ben Tre
57	Bắc Giang	Bac Giang
58	Cao Bằng	Cao Bang
59	Hà Giang	Ha Giang
60	Tuyên Quang	Tuyen Quang
61	Bắc Kạn	Bac Kan
62	Sơn La	Son La
63	Đông Hà	Dong Ha
64	Đà Nẵng	Da Nang
65	Hưng Yên	Hung Yen
66	Phủ Lý	Phu Ly
67	Vĩnh Yên	Vinh Yen
68	Tam Kỳ	Tam Ky
69	Điện Biên Phủ	Dien Bien Phu
70	Đồng Xoài	Dong Xoai
71	Đà Lạt	Da Lat
72	Lai Châu	Lai Chau
73	Kon Tum	Kon Tum
74	Gia Nghĩa	Gia Nghia
75	Dĩ An	Di An
76	Phú Quốc	Phu Quoc
77	Hà Tiên	Ha Tien
78	Bình Long	Binh Long
79	Luân Châu	Luan Chau
