	city	city_ascii
0	Sanaa	Sanaa
1	Ta‘izz	Ta`izz
2	Al Ḩudaydah	Al Hudaydah
3	Aden	Aden
4	Ibb	Ibb
5	Ibb	Ibb
6	Dhamār	Dhamar
7	Al Mukallā	Al Mukalla
8	Ash Shaykh ‘Uthmān	Ash Shaykh `Uthman
9	Tarīm	Tarim
10	Şa‘dah	Sa`dah
11	Zinjibār	Zinjibar
12	Ḩajjah	Hajjah
13	Al Bayḑā’	Al Bayda'
14	‘Ataq	`Ataq
15	Laḩij	Lahij
16	Al Ghayz̧ah	Al Ghayzah
17	Ma’rib	Ma'rib
18	Ḩadībū	Hadibu
19	Al Maḩwīt	Al Mahwit
20	‘Amrān	`Amran
21	Al Jabīn	Al Jabin
22	Aḑ Ḑāli‘	Ad Dali`
23	Al Ḩazm	Al Hazm
24	Say’ūn	Say'un
25	Ash Shiḩr	Ash Shihr
26	Zabīd	Zabid
27	Bājil	Bajil
28	Radā‘	Rada`
29	Bayt al Faqīh	Bayt al Faqih
30	Al Qā‘idah	Al Qa`idah
31	Yarīm	Yarim
32	Ja‘ār	Ja`ar
33	Ma‘bar	Ma`bar
34	Jiblah	Jiblah
35	Ad Dīs ash Sharqīyah	Ad Dis ash Sharqiyah
36	Khamir	Khamir
37	Mocha	Mocha
38	Raydah	Raydah
39	Ar Rawḑah	Ar Rawdah
40	Ḑawrān ad Daydah	Dawran ad Daydah
41	Sayḩūt	Sayhut
