	city	city_ascii
0	Lusaka	Lusaka
1	Ndola	Ndola
2	Kitwe	Kitwe
3	Mazabuka	Mazabuka
4	Kasama	Kasama
5	Kashikishi	Kashikishi
6	Chingola	Chingola
7	Nchelenge	Nchelenge
8	Livingstone	Livingstone
9	Mansa	Mansa
10	Mufulira	Mufulira
11	Kabwe	Kabwe
12	Luanshya	Luanshya
13	Chipata	Chipata
14	Solwezi	Solwezi
15	Mongu	Mongu
16	Choma	Choma
17	Chinsali	Chinsali
18	Chililabombwe	Chililabombwe
19	Kafue	Kafue
20	Kapiri Mposhi	Kapiri Mposhi
21	Mpika	Mpika
22	Mbala	Mbala
23	Kawambwa	Kawambwa
24	Sesheke	Sesheke
25	Mumbwa	Mumbwa
26	Kaoma	Kaoma
27	Mwinilunga	Mwinilunga
28	Lundazi	Lundazi
29	Senanga	Senanga
30	Kalabo	Kalabo
31	Zambezi	Zambezi
32	Kasempa	Kasempa
33	Lukulu	Lukulu
34	Nyimba	Nyimba
