	city	city_ascii
0	Harare	Harare
1	Bulawayo	Bulawayo
2	Chitungwiza	Chitungwiza
3	Mutare	Mutare
4	Gweru	Gweru
5	Masvingo	Masvingo
6	Chinhoyi	Chinhoyi
7	Marondera	Marondera
8	Bindura	Bindura
9	Gwanda	Gwanda
10	Lupane	Lupane
11	Kwekwe	Kwekwe
12	Kadoma	Kadoma
13	Hwange	Hwange
14	Beitbridge	Beitbridge
15	Zvishavane	Zvishavane
16	Victoria Falls	Victoria Falls
17	Redcliff	Redcliff
18	Chiredzi	Chiredzi
19	Karoi	Karoi
20	Kariba	Kariba
21	Ruwa	Ruwa
22	Shamva	Shamva
23	Chivhu	Chivhu
24	Plumtree	Plumtree
25	Mazoe	Mazoe
