	eventnumber	eventid	eventartist	eventtime	eventvenue	eventcity	eventcountry
0		aikko_in_2021-11-21_in_АКАКАО	Aikko	2021-11-21	АКАКАО	Санкт-Петербург	Russian Federation
1		aikko_in_2021-12-12_in_Лофт-парк «Подземка»	Aikko	2021-12-12	Лофт-парк «Подземка»	Новосибирск	Russian Federation
2		alt-j_in_2022-07-12_in_Adrenaline Stadium	alt-J	2022-07-12	Adrenaline Stadium	Moscow	Russian Federation
3		alt-j_in_2022-03-30_in_Pacific Coliseum	alt-J	2022-03-30	Pacific Coliseum	Vancouver	Canada
4		alt-j_in_2022-04-11_in_Madison Square Garden	alt-J	2022-04-11	Madison Square Garden	New York	United States
5		alt-j_in_2022-04-17_in_Coca-Cola Coliseum	alt-J	2022-04-17	Coca-Cola Coliseum	Toronto	Canada
6		alt-j_in_2022-06-10_in_Flughafen Tempelhof	alt-J	2022-06-10	Flughafen Tempelhof	Berlin	Germany
7		alt-j_in_2022-06-28_in_Budapest Park	alt-J	2022-06-28	Budapest Park	Budapest	Hungary
8		alt-j_in_2022-07-06_in_Passeio Marítimo de Algés	alt-J	2022-07-06	Passeio Marítimo de Algés	Oeiras	Portugal
9		alt-j_in_2022-07-06_in_Національний виставковий центр (ВДНГ)	alt-J	2022-07-06	Національний виставковий центр (ВДНГ)	Kyiv	Ukraine
10		alt-j_in_2022-07-06_in_Espacio Mad Cool	alt-J	2022-07-06	Espacio Mad Cool	Madrid	Spain
11		alt-j_in_2022-07-12_in_Adrenaline Stadium	alt-J	2022-07-12	Adrenaline Stadium	Moscow	Russian Federation
12		alt-j_in_2022-07-13_in_Клуб-фестиваль «МОРЗЕ»	alt-J	2022-07-13	Клуб-фестиваль «МОРЗЕ»	Санкт-Петербург	Russian Federation
13		alt-j_in_2022-07-17_in_Centrum Expo XXI	alt-J	2022-07-17	Centrum Expo XXI	Warszawa	Poland
14		alt-j_in_2022-07-18_in_Vilniaus universiteto botanikos sodas	alt-J	2022-07-18	Vilniaus universiteto botanikos sodas	Vilnius	Lithuania
15		arca_in_2021-12-03_in_Catch One	Arca	2021-12-03	Catch One	Los Angeles	United States
16		arca_in_2021-12-09_in_Knockdown Center	Arca	2021-12-09	Knockdown Center	Queens, NY	United States
17		arca_in_2022-06-16_in_Fira de Barcelona - Gran Via	Arca	2022-06-16	Fira de Barcelona - Gran Via	L'Hospitalet de Llobregat	Spain
18		ariana grande_in_2022-01-01_in_Onika's Home	Ariana Grande	2022-01-01	Onika's Home	St. James, Port of Spain	Bermuda
19		ashnikko_in_2021-12-07_in_O2 Forum Kentish Town	Ashnikko	2021-12-07	O2 Forum Kentish Town	London	United Kingdom
20		ashnikko_in_2021-12-10_in_O2 Ritz	Ashnikko	2021-12-10	O2 Ritz	Manchester	United Kingdom
21		ashnikko_in_2021-12-11_in_The Academy	Ashnikko	2021-12-11	The Academy	Dublin	Ireland
22		ashnikko_in_2021-12-12_in_SWG3	Ashnikko	2021-12-12	SWG3	Glasgow	United Kingdom
